country,sex,education,ID,age,marital_status,hh_size,child,employment_status,income_loss,insurance_unemp,lost_job,work_hours,hh_resp,child_rep,adult_care,hh_resp3,child_rep3,hh_resp0,child_rep0,adult_care0,partner_support,child_support,dsupport,ssupport,family_support,domestic_support,source_info,use_info,food_access,access_product,access_care,access_water,access_transp,access_soc,ill_death,mental_health,discrimination,violence,cash_relief,inkind_relief,friends_support,ngo_support,num_child,hh_loss,count_adult,adult_care3,lost_dw_support,lost_relative_support,received_info,gov_support_unemp,weights,urban_rural,refugee_camp,employed,safe,reason_safe1,violence_spouse,violence_family,increase_gbv,priority_gbv,head,disability,hh_resp_b,child_rep_b,adult_care_b,nonhh_rep,risk_covid,reason_safe,coping_1,coping_2,coping_3,coping_4,coping_5,coping_6,coping_7,coping_8,coex,safe_community,UserId,employment_status_a,emp_y,emp_y_a,lost_job_hh,food_need,violence_comm,GBV_problem,GBV_change,help_women,region,hh_size_cat,age_cat,age_cat2,education2,edu_age,edu_child,young_child,hh_comp_mar,countryweightf,countryweightm,_merge,weights_sample
Cote D'Ivoire,Men,No Education,1956,33,Single,5,0,Own Account Worker,yes,,No,,,No,No,,No,No,yes,yes,,,,,,No,Public service announcement/speaker,,yes,No,yes,,,,,yes,Yes,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,No,,,,,No,,No,yes,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,4-5,30-34,25-34,Secondary Education or Less,0,0,0,Single without children,0,0,Matched (3),1
Cote D'Ivoire,Women,Primary,1096,20,Married,6,1,Own Account Worker,yes,,No,,No,No,No,No,No,yes,yes,yes,,,,,,No,Public service announcement/speaker,,yes,yes,No,,,,,yes,Yes,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,No,No,,,,,No,,No,No,No,yes,No,No,No,No,,,,,,,,,,,,,WCARO,6-7,18-24,18-24,Secondary Education or Less,1,1,1,Partnered with children,0,0,Matched (3),1
Cote D'Ivoire,Women,Secondary,100,27,Single,5,1,Formal employee,,,yes,,yes,yes,No,yes,No,yes,yes,yes,,,,,,No,Public service announcement/speaker,,yes,,yes,,,,,No,No,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,No,No,,,,,No,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,4-5,25-29,25-34,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Men,No Education,265,75,Single,9,1,Formal employee,yes,,No,,No,No,No,No,No,No,No,yes,,,,,,No,Public service announcement/speaker,,No,No,No,,,,,No,Yes,No,No,,,,,,,,,,,,0,,,,No,,,,,,yes,No,,,,,No,Live in densely populated area and children play,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,8 and more,>=60,>60,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Men,No Education,1606,45,Single,1,0,Own Account Worker,yes,,No,,No,No,No,No,No,No,yes,yes,,,,,,No,Radio/Television/Newspaper,,No,,yes,,,,,yes,Yes,No,yes,,,,,,,,,,,,0,,,,Yes,,,,,,,No,,,,,No,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,1,45-49,45-59,Secondary Education or Less,0,0,0,Single without children,0,0,Matched (3),0
Cote D'Ivoire,Men,Secondary,985,24,Single,3,0,Not employed,,,,,yes,No,,No,No,yes,yes,No,,,,,,No,Internet and social media ,,No,No,No,,,,,yes,Yes,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,No,,,,,No,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,2-3,18-24,18-24,Secondary Education or Less,1,0,0,Single without children,0,0,Matched (3),1
Cote D'Ivoire,Men,Secondary,1939,18,Single,13,1,Did not work (not in the labor force),,,,,,No,No,,No,No,No,yes,,,,,,No,Radio/Television/Newspaper,,No,No,yes,,,,,No,No,No,yes,,,,,,,,,,,,0,,,,Yes,,,,,,yes,yes,,,,,No,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,8 and more,18-24,18-24,Secondary Education or Less,1,1,1,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Women,Primary,2161,42,Single,7,1,Own Account Worker,yes,,No,,yes,yes,No,yes,No,yes,No,yes,,,,,,No,Public service announcement/speaker,,yes,yes,yes,,,,,yes,Yes,No,yes,,,,,,,,,,,,1,,,,Yes,,,,,,yes,No,,,,,No,,No,No,yes,No,No,yes,No,No,,,,,,,,,,,,,WCARO,6-7,40-44,35-44,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Women,Secondary,352,20,Single,8,1,Informal/no insurance employee,yes,,No,,yes,yes,No,No,No,No,yes,yes,,,,,,No,Internet and social media ,,No,No,No,,,,,No,No,Yes,yes,,,,,,,,,,,,0,,,,Yes,,,,,,No,No,,,,,No,,No,No,No,No,yes,No,No,No,,,,,,,,,,,,,WCARO,8 and more,18-24,18-24,Secondary Education or Less,1,1,1,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Men,Tertiary,569,23,Single,6,0,Did not work (not in the labor force),,,,,yes,No,No,yes,No,yes,yes,yes,,,,,,No,Internet and social media ,,yes,No,No,,,,,No,No,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,No,,,,,yes,,No,No,No,yes,No,No,No,No,,,,,,,,,,,,,WCARO,6-7,18-24,18-24,Tertiary Education and More,0,0,0,Single without children,0,0,Matched (3),0
Cote D'Ivoire,Men,Primary,1514,26,Single,4,1,Did not work (not in the labor force),,,,,No,,No,No,,No,No,yes,,,,,,No,"Phone (text, call, Viber, WhatsApp)",,No,,yes,,,,,yes,Yes,No,yes,,,,,,,,,,,,0,,,,Yes,,,,,,yes,yes,,,,,yes,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,4-5,25-29,25-34,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Men,No Education,2119,40,Single,8,1,Did not work (not in the labor force),,,,,yes,,,No,,No,No,No,,,,,,No,Public service announcement/speaker,,yes,,No,,,,,yes,Yes,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,yes,,,,,yes,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,8 and more,40-44,35-44,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Men,No Education,1955,45,Married,6,1,Own Account Worker,yes,,No,,No,yes,yes,No,No,No,yes,yes,,,,,,No,Public service announcement/speaker,,yes,,No,,,,,yes,No,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,No,,,,,No,,No,No,No,yes,No,No,No,No,,,,,,,,,,,,,WCARO,6-7,45-49,45-59,Secondary Education or Less,0,1,0,Partnered with children,0,0,Matched (3),1
Cote D'Ivoire,Men,Secondary,786,37,Single,5,1,Own Account Worker,yes,,No,,No,,No,No,,No,No,yes,,,,,,No,Radio/Television/Newspaper,,No,yes,yes,,,,,yes,Yes,,No,,,,,,,,,,,,0,,,,Yes,,,,,,No,yes,,,,,No,,No,No,No,yes,No,No,No,No,,,,,,,,,,,,,WCARO,4-5,35-39,35-44,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Women,No Education,1183,28,Single,11,1,Own Account Worker,No,,No,,No,No,No,No,No,No,yes,yes,,,,,,No,Public service announcement/speaker,,No,No,yes,,,,,No,No,,No,,,,,,,,,,,,1,,,,Yes,,,,,,No,No,,,,,No,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,8 and more,25-29,25-34,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Men,No Education,1513,42,Single,5,1,Own Account Worker,yes,,No,,yes,yes,No,No,No,No,No,yes,,,,,,No,Public service announcement/speaker,,yes,No,No,,,,,yes,No,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,No,,,,,yes,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,4-5,40-44,35-44,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),0
Cote D'Ivoire,Women,Primary,125,45,Married,8,1,Own Account Worker,yes,,No,,No,No,No,No,No,yes,yes,yes,,,,,,No,Internet and social media ,,No,,yes,,,,,yes,Yes,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,No,,,,,No,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,8 and more,45-49,45-59,Secondary Education or Less,0,1,0,Partnered with children,0,0,Matched (3),1
Cote D'Ivoire,Men,No Education,1548,58,Single,6,1,Own Account Worker,yes,,No,,,No,No,,No,No,No,yes,,,,,,No,Public service announcement/speaker,,No,,No,,,,,yes,No,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,No,,,,,No,,No,No,No,yes,No,No,No,No,,,,,,,,,,,,,WCARO,6-7,55-60,45-59,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Men,Secondary,1045,45,Married,11,1,Formal employee,No,,No,,No,No,No,No,No,No,yes,yes,,,,,,No,Internet and social media ,,No,yes,yes,,,,,No,No,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,yes,,,,,yes,,yes,yes,yes,yes,No,No,yes,yes,,,,,,,,,,,,,WCARO,8 and more,45-49,45-59,Secondary Education or Less,0,1,0,Partnered with children,0,0,Matched (3),1
Cote D'Ivoire,Men,No Education,2217,40,Single,10,1,Own Account Worker,No,,No,,No,yes,No,No,No,No,No,yes,,,,,,No,Radio/Television/Newspaper,,yes,,No,,,,,yes,Yes,Yes,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,No,,,,,No,,No,yes,No,yes,No,yes,No,yes,,,,,,,,,,,,,WCARO,8 and more,40-44,35-44,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Women,Secondary,869,27,Single,4,0,Not employed,,,,,yes,No,yes,No,No,No,No,yes,,,,,,No,Public service announcement/speaker,,No,No,No,,,,,yes,No,No,yes,,,,,,,,,,,,0,,,,Yes,,,,,,No,No,,,,,No,,yes,No,No,No,No,yes,No,No,,,,,,,,,,,,,WCARO,4-5,25-29,25-34,Secondary Education or Less,0,0,0,Single without children,0,0,Matched (3),1
Cote D'Ivoire,Women,Primary,2036,38,Single,7,1,Did not work (not in the labor force),,,,,No,No,No,No,No,No,No,yes,,,,,,No,"Phone (text, call, Viber, WhatsApp)",,yes,yes,yes,,,,,No,Yes,Yes,No,,,,,,,,,,,,0,,,,Yes,,,,,,No,No,,,,,No,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,6-7,35-39,35-44,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Men,No Education,1249,43,Single,7,1,Informal/no insurance employee,yes,,No,,No,No,No,No,No,No,No,yes,,,,,,No,Public service announcement/speaker,,yes,,No,,,,,No,No,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,No,,,,,No,,No,No,No,yes,No,No,No,No,,,,,,,,,,,,,WCARO,6-7,40-44,35-44,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),0
Cote D'Ivoire,Men,Secondary,1217,59,Married,9,1,Formal employee,No,,No,,No,yes,No,No,No,No,yes,yes,,,,,,No,"Phone (text, call, Viber, WhatsApp)",,No,No,No,,,,,No,No,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,No,,,,,No,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,8 and more,55-60,45-59,Secondary Education or Less,0,1,0,Partnered with children,0,0,Matched (3),1
Cote D'Ivoire,Men,Primary,296,41,Single,9,1,Own Account Worker,yes,,No,,yes,No,No,No,No,No,yes,yes,,,,,,No,Public service announcement/speaker,,yes,,No,,,,,yes,No,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,No,,,,,No,,No,No,No,No,No,yes,No,No,,,,,,,,,,,,,WCARO,8 and more,40-44,35-44,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Women,Tertiary,2241,33,Single,1,1,Own Account Worker,,,yes,,No,yes,yes,No,No,No,No,yes,,,,,,No,Internet and social media ,,yes,No,No,,,,,yes,Yes,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,,No,,,,,No,,No,No,No,No,No,yes,No,yes,,,,,,,,,,,,,WCARO,1,30-34,25-34,Tertiary Education and More,0,0,0,Single Parent,0,0,Matched (3),0
Cote D'Ivoire,Men,Primary,1934,32,Single,7,1,Did not work (not in the labor force),,,,,,No,No,,No,No,No,yes,,,,,,No,Radio/Television/Newspaper,,yes,,yes,,,,,yes,Yes,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,yes,,,,,yes,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,6-7,30-34,25-34,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Men,No Education,2345,51,Single,17,1,Own Account Worker,yes,,No,,No,No,No,No,No,yes,yes,yes,,,,,,No,Public service announcement/speaker,,yes,,No,,,,,yes,Yes,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,yes,,,,,No,,No,yes,yes,No,No,yes,No,No,,,,,,,,,,,,,WCARO,8 and more,50-54,45-59,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Men,Primary,1874,43,Single,5,1,Own Account Worker,No,,No,,No,No,No,No,No,No,yes,yes,,,,,,No,"Phone (text, call, Viber, WhatsApp)",,No,No,No,,,,,No,No,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,No,,,,,No,,No,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,4-5,40-44,35-44,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Men,No Education,1690,40,Single,14,1,Did not work (not in the labor force),,,,,yes,yes,No,No,No,No,No,yes,,,,,,No,Public service announcement/speaker,,yes,,yes,,,,,yes,Yes,Yes,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,No,,,,,yes,,yes,No,No,yes,No,No,No,yes,,,,,,,,,,,,,WCARO,8 and more,40-44,35-44,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),1
Cote D'Ivoire,Women,Primary,805,33,Single,21,1,Own Account Worker,yes,,No,,yes,yes,yes,No,No,yes,yes,yes,,,,,,No,Public service announcement/speaker,,yes,yes,yes,,,,,yes,Yes,No,No,,,,,,,,,,,,2,,,,Yes,,,,,,No,No,,,,,No,,No,yes,No,No,No,yes,No,No,,,,,,,,,,,,,WCARO,8 and more,30-34,25-34,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),4
Cote D'Ivoire,Women,No Education,535,40,Married,6,1,Own Account Worker,yes,,No,,yes,No,No,No,No,yes,No,yes,,,,,,No,Radio/Television/Newspaper,,yes,yes,No,,,,,yes,No,No,No,,,,,,,,,,,,0,,,,Yes,,,,,,No,No,,,,,yes,,No,No,No,No,yes,yes,No,No,,,,,,,,,,,,,WCARO,6-7,40-44,35-44,Secondary Education or Less,0,1,0,Partnered with children,0,0,Matched (3),1
Cote D'Ivoire,Men,No Education,1851,35,Single,7,1,Did not work (not in the labor force),,,,,No,No,No,No,No,No,No,yes,,,,,,No,"Phone (text, call, Viber, WhatsApp)",,yes,,No,,,,,yes,Yes,Yes,No,,,,,,,,,,,,0,,,,Yes,,,,,,yes,No,,,,,No,,yes,No,No,No,No,No,No,No,,,,,,,,,,,,,WCARO,6-7,35-39,35-44,Secondary Education or Less,0,1,0,Single Parent,0,0,Matched (3),0
