ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Timor-Leste,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2021,262.842,,,Currency: TLS - United States dollar (USD),Repository: ILO-STATISTICS - Micro data processing
Togo,HIES - Living Standards Measurement Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2022,92903.217,,,Currency: TGO - West African CFA franc (XOF),Repository: ILO-STATISTICS - Micro data processing
Tokelau,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2016,744.336,,,Currency: TKL - New Zealand dollar (NZD),Repository: ILO-STATISTICS - Micro data processing
Tonga,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,1619.59,,,Currency: TON - Pa'anga (TOP),Repository: ILO-STATISTICS - Micro data processing
Trinidad and Tobago,LFS - Continuous Sample Survey of the Population,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2016,6075.56,,,Currency: TTO - Trinidad and Tobago dollar (TTD),Repository: ILO-STATISTICS - Micro data processing
Tunisia,LFS - National Population and Employment Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2019,780.544,,,Currency: TUN - Tunisian dinar (TND),Repository: ILO-STATISTICS - Micro data processing | Data reference period: Second quarter
Türkiye,LFS - Household Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,15032.96,,,Currency: TUR - Turkish lira (TRY),Repository: ILO-STATISTICS - Micro data processing
Uganda,LFS - National Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2021,672011.955,,,Currency: UGA - Ugandan shilling (UGX),Repository: ILO-STATISTICS - Micro data processing
Ukraine,ES - Survey of enterprises on matters pertaining to labor statistics,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2021,15563.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: UKR - Hryvnia (UAH),"Geographical coverage: Total national, excluding some areas | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees"
United Arab Emirates,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2009,7917.571,,,Value type: Real values | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked | Currency: ARE - United Arab Emirates dirham (AED),Data reference period: May | Population coverage: Excluding labour camps
United Kingdom of Great Britain and Northern Ireland,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,3388.911,,,Currency: GBR - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
United States of America,LFS - Current Population Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2024,6819.002,,,Currency: USA - United States dollar (USD),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Uruguay,LFS - Continous Household Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2020,40527.977,Break in series,,Currency: URY - Uruguayan peso (UYU) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Uzbekistan,OE - Official Estimates,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2022,4681257.369,,,Working time arrangement coverage: Full-time workers | Currency: UZB - Uzbekistani som (UZS),
Vanuatu,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2010,44400.963,,,Currency: VUT - Vatu (VUV),Repository: ILO-STATISTICS - Micro data processing
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2020,2856071.0,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: VEN - Bolívar soberano (VES),"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Viet Nam,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,8296433.136,,,Components of earnings/wages: Including overtime and/or irregular bonuses | Currency: VNM - Dông (VND),Repository: ILO-STATISTICS - Micro data processing
Wallis and Futuna,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2019,226642.27,,,Currency: WLF - CFP franc (XPF),Repository: ILO-STATISTICS - Micro data processing
Yemen,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2014,62063.999,Break in series,,Currency: YEM - Yemeni rial (YER) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Zambia,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,3257.913,,,Currency: ZMB - Zambian kwacha (ZMW),Repository: ILO-STATISTICS - Micro data processing
Zimbabwe,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: Local currency,2023,420431.18,,,Currency: ZWE - Zimbabwean dollar (ZWL),Repository: ILO-STATISTICS - Micro data processing
