,ISO,year,country,break,local_currency_code,F_local,F_usd,M_local,M_usd,T_local,T_usd,ratio_local,ratio_usd,female_share,male_share,balanced_avg,balanced_ratio
0,ABW,2010,Aruba,False,AWG,2713.0,1515.642,3338.0,1864.804,3013.0,1683.24,0.812,0.812,0.52,0.48,3025.5,0.896
1,AFG,2020,Afghanistan,True,AFN,10843.294,141.164,13439.387,174.961,13202.245,171.874,0.806,0.806,0.091,0.908,12141.34,0.893
2,AGO,2021,Angola,False,AOA,69497.802,110.062,99293.136,157.248,90678.796,143.606,0.699,0.699,0.289,0.71,84395.469,0.823
3,ALB,2015,Albania,False,ALL,45033.0,357.514,48358.0,383.91,46829.0,371.772,0.931,0.931,0.459,0.54,46695.5,0.964
4,ALB,2016,Albania,False,ALL,44354.206,357.285,50083.853,403.438,47522.434,382.806,0.885,0.885,0.447,0.552,47219.029,0.939
5,ALB,2017,Albania,False,ALL,46017.64,386.378,51392.033,431.503,48966.821,411.14,0.895,0.895,0.451,0.548,48704.836,0.944
6,ALB,2018,Albania,False,ALL,47490.0,439.766,53181.0,492.466,50589.0,468.464,0.892,0.892,0.455,0.544,50335.5,0.943
7,ALB,2019,Albania,False,ALL,49411.0,449.801,54940.0,500.133,52380.0,476.828,0.899,0.899,0.463,0.536,52175.5,0.947
8,ALB,2020,Albania,False,ALL,51679.0,475.647,55317.0,509.13,53662.0,493.898,0.934,0.934,0.454,0.545,53498.0,0.965
9,ALB,2021,Albania,False,ALL,55760.0,538.64,58413.0,564.268,57191.0,552.463,0.954,0.954,0.46,0.539,57086.5,0.976
10,ALB,2022,Albania,False,ALL,59813.0,529.124,63773.0,564.155,61898.0,547.568,0.937,0.937,0.473,0.526,61793.0,0.967
11,ARE,2009,United Arab Emirates,False,AED,5550.968,1511.496,7917.571,2155.908,7450.614,2028.758,0.701,0.701,0.197,0.802,6734.269,0.824
12,ARG,2004,Argentina,True,ARS,546.02,188.412,797.288,275.116,685.086,236.399,0.684,0.684,0.446,0.553,671.654,0.812
13,ARG,2005,Argentina,False,ARS,644.352,218.646,953.885,323.68,816.306,276.995,0.675,0.675,0.444,0.555,799.118,0.806
14,ARG,2006,Argentina,False,ARS,827.057,271.611,1185.819,389.431,1026.551,337.127,0.697,0.697,0.443,0.556,1006.438,0.821
15,ARG,2008,Argentina,False,ARS,1348.002,428.753,1862.376,592.358,1636.195,520.418,0.723,0.723,0.439,0.56,1605.188,0.839
16,ARG,2009,Argentina,False,ARS,1676.452,484.103,2201.785,635.802,1968.266,568.37,0.761,0.761,0.444,0.555,1939.118,0.864
17,ARG,2010,Argentina,False,ARS,2047.072,537.995,2708.707,711.88,2418.527,635.618,0.755,0.755,0.438,0.561,2377.889,0.86
18,ARG,2011,Argentina,False,ARS,2643.812,664.107,3542.718,889.906,3150.631,791.416,0.746,0.746,0.436,0.563,3093.265,0.854
19,ARG,2012,Argentina,False,ARS,3304.936,765.031,4410.081,1020.852,3925.666,908.718,0.749,0.749,0.438,0.561,3857.508,0.856
20,ARG,2013,Argentina,False,ARS,4198.434,848.511,5594.005,1130.558,4981.156,1006.7,0.75,0.75,0.439,0.56,4896.219,0.857
21,ARG,2014,Argentina,False,ARS,5446.116,771.951,7254.33,1028.253,6460.093,915.675,0.75,0.75,0.439,0.56,6350.223,0.857
22,ARG,2017,Argentina,False,ARS,12258.414,771.309,16382.998,1030.831,14490.073,911.726,0.748,0.748,0.458,0.541,14320.706,0.855
23,ARG,2018,Argentina,False,ARS,15579.87,805.41,20937.729,1082.388,18457.024,954.147,0.744,0.744,0.463,0.536,18258.799,0.853
24,ARG,2019,Argentina,False,ARS,21861.66,568.869,28726.973,747.514,25562.726,665.176,0.761,0.761,0.46,0.539,25294.316,0.864
25,ARG,2020,Argentina,False,ARS,31428.096,498.985,40458.771,642.365,36282.026,576.051,0.776,0.776,0.462,0.537,35943.433,0.874
26,ARG,2021,Argentina,False,ARS,43757.025,478.354,58629.244,640.938,51752.749,565.764,0.746,0.746,0.462,0.537,51193.134,0.854
27,ARG,2022,Argentina,False,ARS,70482.564,643.793,93993.388,858.543,83060.662,758.683,0.749,0.749,0.465,0.534,82237.976,0.857
28,ARG,2023,Argentina,False,ARS,163516.913,862.385,214733.502,1132.5,190754.004,1006.033,0.761,0.761,0.468,0.531,189125.207,0.864
29,ARM,2011,Armenia,False,AMD,64292.79,172.598,97430.606,261.558,82681.486,221.963,0.659,0.659,0.445,0.554,80861.698,0.795
30,ARM,2012,Armenia,False,AMD,69123.535,172.05,105034.109,261.432,88760.389,220.927,0.658,0.658,0.453,0.546,87078.822,0.793
31,ARM,2014,Armenia,True,AMD,74654.281,179.492,114809.237,276.037,95690.029,230.068,0.65,0.65,0.476,0.523,94731.758,0.788
32,ARM,2015,Armenia,False,AMD,79546.827,166.444,119184.393,249.382,100331.238,209.934,0.667,0.667,0.475,0.524,99365.61,0.8
33,ARM,2016,Armenia,False,AMD,79541.311,165.543,119163.433,248.005,99931.079,207.978,0.667,0.667,0.485,0.514,99352.372,0.8
34,ARM,2017,Armenia,False,AMD,84423.741,174.893,122056.875,252.854,103505.383,214.423,0.691,0.691,0.492,0.507,103240.307,0.817
35,ARM,2020,Armenia,False,AMD,100066.646,204.632,151655.781,310.129,125733.844,257.12,0.659,0.659,0.502,0.497,125861.213,0.795
36,ARM,2021,Armenia,False,AMD,104116.368,206.674,158052.93,313.74,130559.108,259.164,0.658,0.658,0.509,0.49,131084.649,0.794
37,ATG,2018,Antigua and Barbuda,False,XCD,2481.99,919.256,2871.245,1063.424,2672.81,989.93,0.864,0.864,0.509,0.49,2676.617,0.927
38,ATG,2023,Antigua and Barbuda,False,XCD,2682.598,993.555,3009.74,1114.718,2840.209,1051.929,0.891,0.891,0.518,0.481,2846.169,0.942
39,AUS,1972,Australia,False,AUD,67.297,56.441,98.7,82.779,,,0.681,0.681,,,82.998,0.81
40,AUS,1973,Australia,False,AUD,81.12,57.117,115.056,81.012,,,0.705,0.705,,,98.088,0.827
41,AUS,1974,Australia,False,AUD,110.11,76.71,147.854,103.005,,,0.744,0.744,,,128.982,0.853
42,AUS,1975,Australia,False,AUD,130.175,99.437,164.43,125.603,,,0.791,0.791,,,147.303,0.883
43,AUS,1976,Australia,False,AUD,150.912,123.488,187.627,153.531,,,0.804,0.804,,,169.269,0.891
44,AUS,1977,Australia,False,AUD,169.344,152.717,207.977,187.557,,,0.814,0.814,,,188.66,0.897
45,AUS,1978,Australia,False,AUD,181.45,158.525,221.676,193.669,,,0.818,0.818,,,201.563,0.9
46,AUS,1979,Australia,False,AUD,196.474,175.773,242.537,216.983,,,0.81,0.81,,,219.505,0.895
47,AUS,1982,Australia,True,AUD,282.298,278.306,356.4,351.36,332.985,328.276,0.792,0.792,0.315,0.684,319.349,0.883
48,AUS,1984,Australia,False,AUD,329.284,375.225,405.015,461.522,379.764,432.748,0.813,0.813,0.333,0.666,367.149,0.896
49,AUT,2002,Austria,False,EUR,1719.69,1626.094,2409.93,2278.767,2162.43,2044.737,0.713,0.713,0.358,0.641,2064.81,0.832
50,AUT,2004,Austria,False,EUR,1674.637,2083.085,2551.872,3174.279,2169.082,2698.126,0.656,0.656,0.436,0.563,2113.254,0.792
51,AUT,2005,Austria,False,EUR,1757.038,2185.914,2625.727,3266.642,2247.198,2795.717,0.669,0.669,0.435,0.564,2191.382,0.801
52,AUT,2006,Austria,False,EUR,1762.951,2213.559,2629.62,3301.748,2251.217,2826.626,0.67,0.67,0.436,0.563,2196.285,0.802
53,AUT,2007,Austria,False,EUR,2174.364,2979.918,3303.052,4526.76,2812.792,3854.869,0.658,0.658,0.434,0.565,2738.708,0.793
54,AUT,2008,Austria,False,EUR,2424.231,3565.452,3687.83,5423.896,3135.569,4611.656,0.657,0.657,0.437,0.562,3056.03,0.793
55,AUT,2010,Austria,False,EUR,2639.167,3498.788,3961.925,5252.391,3374.459,4473.577,0.666,0.666,0.444,0.555,3300.546,0.799
56,AUT,2011,Austria,False,EUR,2617.402,3643.307,3929.064,5469.081,3335.132,4642.354,0.666,0.666,0.452,0.547,3273.233,0.799
57,AUT,2012,Austria,False,EUR,2666.782,3426.251,4098.008,5265.074,3459.086,4444.195,0.65,0.65,0.446,0.553,3382.395,0.788
58,AUT,2014,Austria,False,EUR,2911.681,3868.171,4279.898,5685.848,3662.191,4865.224,0.68,0.68,0.451,0.548,3595.789,0.809
59,AUT,2016,Austria,False,EUR,2923.287,3235.795,4453.071,4929.118,3752.687,4153.861,0.656,0.656,0.457,0.542,3688.179,0.792
60,AUT,2019,Austria,False,EUR,3120.101,3492.873,4688.37,5248.51,3977.213,4452.389,0.665,0.665,0.453,0.546,3904.235,0.799
61,AUT,2020,Austria,False,EUR,3365.821,3844.428,4817.824,5502.9,4161.638,4753.406,0.698,0.698,0.451,0.548,4091.822,0.822
62,AUT,2021,Austria,False,EUR,3504.904,4145.392,4929.866,5830.751,4275.853,5057.224,0.71,0.71,0.458,0.541,4217.385,0.831
63,AUT,2022,Austria,False,EUR,3405.605,3586.268,4991.843,5256.654,4256.412,4482.209,0.682,0.682,0.463,0.536,4198.724,0.811
64,AUT,2023,Austria,False,EUR,3604.806,3897.763,5252.655,5679.531,4490.404,4855.333,0.686,0.686,0.462,0.537,4428.73,0.813
65,AZE,2022,Azerbaijan,False,AZN,655.3,385.471,962.7,566.294,839.4,493.765,0.68,0.68,0.401,0.598,809.0,0.81
66,BDI,2020,Burundi,False,BIF,382336.895,199.649,461968.172,241.231,433782.57,226.513,0.827,0.827,0.353,0.646,422152.533,0.905
67,BEL,2004,Belgium,False,EUR,2156.208,2682.112,2946.275,3664.879,2591.253,3223.266,0.731,0.731,0.449,0.55,2551.241,0.845
68,BEL,2005,Belgium,False,EUR,2176.717,2708.032,2961.602,3684.5,2603.602,3239.116,0.734,0.734,0.456,0.543,2569.159,0.847
69,BEL,2006,Belgium,False,EUR,2250.535,2825.769,3044.958,3823.246,2685.664,3372.117,0.739,0.739,0.452,0.547,2647.746,0.849
70,BEL,2007,Belgium,False,EUR,3026.253,4147.412,4323.064,5924.664,3724.343,5104.13,0.7,0.7,0.461,0.538,3674.658,0.823
71,BEL,2008,Belgium,False,EUR,3028.889,4454.755,4291.548,6311.817,3706.729,5451.691,0.705,0.705,0.463,0.536,3660.218,0.827
72,BEL,2009,Belgium,False,EUR,3255.802,4541.135,4506.495,6285.581,3922.081,5470.45,0.722,0.722,0.467,0.532,3881.148,0.838
73,BEL,2010,Belgium,False,EUR,3377.722,4477.903,4588.527,6083.086,4016.742,5325.062,0.736,0.736,0.472,0.527,3983.124,0.848
74,BEL,2011,Belgium,False,EUR,3454.75,4808.858,4736.428,6592.896,4118.506,5732.778,0.729,0.729,0.482,0.517,4095.589,0.843
75,BEL,2012,Belgium,False,EUR,3561.894,4576.281,4876.95,6265.851,4252.609,5463.704,0.73,0.73,0.474,0.525,4219.422,0.844
76,BEL,2013,Belgium,False,EUR,3676.079,4882.267,5136.8,6822.276,4422.129,5873.109,0.715,0.715,0.489,0.51,4406.439,0.834
77,BEL,2014,Belgium,False,EUR,3822.849,5078.658,5201.141,6909.72,4527.225,6014.421,0.735,0.735,0.488,0.511,4511.995,0.847
78,BEL,2015,Belgium,False,EUR,3816.738,4234.72,5166.255,5732.027,4517.856,5012.619,0.738,0.738,0.48,0.519,4491.496,0.849
79,BEL,2016,Belgium,False,EUR,3859.319,4271.892,5223.04,5781.399,4566.641,5054.829,0.738,0.738,0.481,0.518,4541.179,0.849
80,BEL,2017,Belgium,False,EUR,3949.001,4461.112,5335.822,6027.778,4655.451,5259.176,0.74,0.74,0.49,0.509,4642.411,0.85
81,BEL,2018,Belgium,False,EUR,3964.4,4681.776,5397.234,6373.888,4701.583,5552.355,0.734,0.734,0.485,0.514,4680.817,0.846
82,BEL,2019,Belgium,False,EUR,4225.942,4730.834,5671.977,6349.634,4956.203,5548.343,0.745,0.745,0.494,0.505,4948.959,0.853
83,BEL,2020,Belgium,False,EUR,4354.52,4973.716,5732.087,6547.168,5043.15,5760.266,0.759,0.759,0.5,0.499,5043.303,0.863
84,BEL,2021,Belgium,False,EUR,4516.035,5341.297,5856.674,6926.924,5185.728,6133.369,0.771,0.771,0.5,0.499,5186.354,0.87
85,BEL,2022,Belgium,False,EUR,4788.237,5042.246,6043.09,6363.667,5417.902,5705.315,0.792,0.792,0.498,0.501,5415.663,0.884
86,BEL,2023,Belgium,False,EUR,5166.568,5586.447,6514.11,7043.503,5843.968,6318.9,0.793,0.793,0.497,0.502,5840.339,0.884
87,BEN,2011,Benin,False,XOF,65808.224,139.647,82861.776,175.834,78811.643,167.24,0.794,0.794,0.237,0.762,74335.0,0.885
88,BFA,2018,Burkina Faso,False,XOF,83244.935,149.87,118306.464,212.994,107024.67,192.682,0.703,0.703,0.321,0.678,100775.699,0.826
89,BFA,2019,Burkina Faso,False,XOF,86797.572,148.141,121652.343,207.629,111405.428,190.141,0.713,0.713,0.293,0.706,104224.957,0.832
90,BFA,2022,Burkina Faso,False,XOF,64327.504,103.129,91954.585,147.42,84008.694,134.681,0.699,0.699,0.287,0.712,78141.044,0.823
91,BGD,2016,Bangladesh,False,BDT,12106.0,154.279,13141.0,167.469,12915.0,164.589,0.921,0.921,0.218,0.781,12623.5,0.959
92,BGD,2017,Bangladesh,False,BDT,11058.771,137.483,12044.784,149.741,11811.698,146.843,0.918,0.918,0.236,0.763,11551.777,0.957
93,BGR,1999,Bulgaria,True,BGN,175.0,95.296,227.0,123.612,201.0,109.454,0.77,0.77,0.5,0.5,201.0,0.87
94,BGR,2000,Bulgaria,False,BGN,194.0,91.368,256.0,120.568,225.01,105.973,0.757,0.757,0.499,0.5,225.0,0.862
95,BGR,2001,Bulgaria,False,BGN,209.0,95.665,273.0,124.96,240.0,109.854,0.765,0.765,0.515,0.484,241.0,0.867
96,BGR,2002,Bulgaria,False,BGN,227.0,109.294,290.0,139.626,258.0,124.219,0.782,0.782,0.507,0.492,258.5,0.878
97,BGR,2003,Bulgaria,False,BGN,246.0,141.975,303.0,174.871,273.0,157.557,0.811,0.811,0.526,0.473,274.5,0.896
98,BGR,2004,Bulgaria,False,BGN,265.0,168.242,321.0,203.795,292.0,185.384,0.825,0.825,0.517,0.482,293.0,0.904
99,BGR,2005,Bulgaria,False,BGN,293.0,186.134,356.0,226.156,324.0,205.827,0.823,0.823,0.507,0.492,324.5,0.902
100,BGR,2006,Bulgaria,False,BGN,327.0,209.714,393.0,252.042,360.01,230.884,0.832,0.832,0.499,0.5,360.0,0.908
101,BGR,2007,Bulgaria,False,EUR,218.61,299.6,272.245,373.106,247.347,338.983,0.802,0.802,0.464,0.535,245.427,0.89
102,BGR,2008,Bulgaria,False,EUR,258.435,380.096,324.924,477.883,294.095,432.542,0.795,0.795,0.463,0.536,291.679,0.886
103,BGR,2009,Bulgaria,False,EUR,339.513,473.547,412.316,575.091,378.081,527.34,0.823,0.823,0.47,0.529,375.914,0.903
104,BGR,2010,Bulgaria,False,EUR,345.903,458.57,401.873,532.77,375.38,497.648,0.86,0.86,0.473,0.526,373.888,0.925
105,BGR,2011,Bulgaria,False,EUR,315.902,439.722,383.502,533.818,350.6,488.02,0.823,0.823,0.486,0.513,349.702,0.903
106,BGR,2012,Bulgaria,False,EUR,400.126,514.077,490.887,630.686,447.262,574.638,0.815,0.815,0.48,0.519,445.506,0.898
107,BGR,2013,Bulgaria,False,EUR,369.121,490.236,439.846,584.167,405.303,538.29,0.839,0.839,0.488,0.511,404.483,0.912
108,BGR,2014,Bulgaria,False,EUR,391.78,520.479,475.089,631.156,433.866,576.392,0.824,0.824,0.494,0.505,433.434,0.903
109,BGR,2015,Bulgaria,False,EUR,436.42,484.214,538.236,597.18,489.009,542.562,0.81,0.81,0.483,0.516,487.328,0.895
110,BGR,2016,Bulgaria,False,EUR,508.344,562.688,585.071,647.617,548.124,606.72,0.868,0.868,0.481,0.518,546.707,0.929
111,BGR,2017,Bulgaria,False,EUR,531.668,600.615,597.635,675.137,565.55,638.891,0.889,0.889,0.486,0.513,564.651,0.941
112,BGR,2018,Bulgaria,False,EUR,527.338,622.762,592.313,699.494,561.327,662.902,0.89,0.89,0.476,0.523,559.825,0.941
113,BGR,2019,Bulgaria,False,EUR,644.369,721.354,749.123,838.624,699.482,783.052,0.86,0.86,0.473,0.526,696.746,0.924
114,BGR,2020,Bulgaria,False,EUR,693.943,792.618,798.147,911.64,748.931,855.426,0.869,0.869,0.472,0.527,746.045,0.93
115,BGR,2021,Bulgaria,False,EUR,761.439,900.585,855.739,1012.117,811.217,959.46,0.889,0.889,0.472,0.527,808.589,0.941
116,BGR,2022,Bulgaria,False,EUR,867.554,913.577,963.815,1014.944,917.982,966.68,0.9,0.9,0.476,0.523,915.684,0.947
117,BGR,2023,Bulgaria,False,EUR,949.164,1026.3,1066.557,1153.234,1010.359,1092.47,0.889,0.889,0.478,0.521,1007.86,0.941
118,BHR,2001,Bahrain,False,BHD,218.0,579.787,237.0,630.319,234.0,622.34,0.919,0.919,0.157,0.842,227.5,0.958
119,BHR,2002,Bahrain,False,BHD,224.0,595.745,238.0,632.979,236.0,627.66,0.941,0.941,0.142,0.857,231.0,0.969
120,BHR,2015,Bahrain,True,BHD,680.0,1808.511,889.0,2364.362,785.0,2087.766,0.764,0.764,0.497,0.502,784.5,0.866
121,BHR,2016,Bahrain,False,BHD,715.0,1901.596,933.0,2481.383,824.0,2191.489,0.766,0.766,0.5,0.5,824.0,0.867
122,BHR,2017,Bahrain,False,BHD,721.0,1917.553,953.0,2534.575,837.0,2226.064,0.756,0.756,0.5,0.5,837.0,0.861
123,BHR,2018,Bahrain,False,BHD,736.0,1957.447,971.0,2582.447,853.0,2268.617,0.757,0.757,0.502,0.497,853.5,0.862
124,BHS,2019,Bahamas,False,BSD,4267.944,4267.944,4911.727,4911.727,4585.317,4585.317,0.868,0.868,0.507,0.492,4589.835,0.929
125,BIH,2006,Bosnia and Herzegovina,True,BAM,435.333,279.226,511.878,328.322,484.594,310.822,0.85,0.85,0.356,0.643,473.605,0.919
126,BIH,2007,Bosnia and Herzegovina,False,BAM,490.653,343.353,547.744,383.305,527.87,369.398,0.895,0.895,0.348,0.651,519.198,0.945
127,BIH,2008,Bosnia and Herzegovina,False,BAM,567.657,425.149,635.019,475.6,611.119,457.7,0.893,0.893,0.354,0.645,601.338,0.943
128,BIH,2009,Bosnia and Herzegovina,False,BAM,616.614,437.97,700.834,497.79,670.678,476.371,0.879,0.879,0.358,0.641,658.723,0.936
129,BIH,2010,Bosnia and Herzegovina,False,BAM,654.984,443.534,718.655,486.65,695.575,471.021,0.911,0.911,0.362,0.637,686.819,0.953
130,BIH,2011,Bosnia and Herzegovina,False,BAM,658.451,468.003,732.468,520.611,704.899,501.017,0.898,0.898,0.372,0.627,695.459,0.946
131,BIH,2012,Bosnia and Herzegovina,False,BAM,657.0,431.609,722.179,474.428,698.302,458.742,0.909,0.909,0.366,0.633,689.589,0.952
132,BIH,2013,Bosnia and Herzegovina,False,BAM,671.201,455.654,759.072,515.306,726.055,492.892,0.884,0.884,0.375,0.624,715.136,0.938
133,BIH,2014,Bosnia and Herzegovina,False,BAM,691.555,469.115,780.464,529.426,747.474,507.048,0.886,0.886,0.371,0.628,736.009,0.939
134,BIH,2015,Bosnia and Herzegovina,False,BAM,683.084,387.348,771.291,437.366,737.467,418.186,0.885,0.885,0.383,0.616,727.187,0.939
135,BIH,2016,Bosnia and Herzegovina,False,BAM,681.73,385.564,778.463,440.273,742.69,420.041,0.875,0.875,0.369,0.63,730.096,0.933
136,BIH,2020,Bosnia and Herzegovina,True,BAM,1112.741,648.084,1309.794,762.852,1235.389,719.517,0.849,0.849,0.377,0.622,1211.267,0.918
137,BIH,2021,Bosnia and Herzegovina,True,BAM,1180.656,713.988,1345.483,813.666,1282.689,775.692,0.877,0.877,0.38,0.619,1263.069,0.934
138,BIH,2022,Bosnia and Herzegovina,True,BAM,1248.069,671.248,1424.094,765.919,1357.312,730.003,0.876,0.876,0.379,0.62,1336.081,0.934
139,BIH,2023,Bosnia and Herzegovina,True,BAM,1379.031,762.232,1572.732,869.296,1497.914,827.942,0.876,0.876,0.386,0.613,1475.881,0.934
140,BLZ,2020,Belize,False,BZD,900.0,450.0,1020.0,510.0,1020.0,510.0,0.882,0.882,-0.0,1.0,960.0,0.937
141,BMU,2012,Bermuda,False,BMD,5732.2,5732.2,6015.6,6015.6,5869.8,5869.8,0.952,0.952,0.514,0.485,5873.9,0.975
142,BOL,1993,Bolivia (Plurinational State of),False,BOB,459.922,107.834,676.007,158.498,597.073,139.991,0.68,0.68,0.365,0.634,567.964,0.809
143,BOL,1995,Bolivia (Plurinational State of),False,BOB,587.583,122.404,843.316,175.678,753.984,157.069,0.696,0.696,0.349,0.65,715.449,0.821
144,BOL,1999,Bolivia (Plurinational State of),False,BOB,1587.738,273.164,1905.745,327.875,1795.629,308.93,0.833,0.833,0.346,0.653,1746.741,0.908
145,BOL,2000,Bolivia (Plurinational State of),False,BOB,1049.557,169.734,1470.712,237.843,1318.561,213.237,0.713,0.713,0.361,0.638,1260.134,0.832
146,BOL,2001,Bolivia (Plurinational State of),False,BOB,999.803,151.327,1281.981,194.036,1179.624,178.544,0.779,0.779,0.362,0.637,1140.892,0.876
147,BOL,2002,Bolivia (Plurinational State of),False,BOB,989.058,137.944,1362.105,189.973,1233.071,171.976,0.726,0.726,0.345,0.654,1175.581,0.841
148,BOL,2004,Bolivia (Plurinational State of),True,BOB,951.131,119.846,1205.736,151.927,1119.879,141.109,0.788,0.788,0.337,0.662,1078.433,0.881
149,BOL,2005,Bolivia (Plurinational State of),True,BOB,977.023,121.128,1310.731,162.5,1195.09,148.163,0.745,0.745,0.346,0.653,1143.877,0.854
150,BOL,2006,Bolivia (Plurinational State of),False,BOB,1054.99,131.683,1477.325,184.398,1317.702,164.474,0.714,0.714,0.377,0.622,1266.157,0.833
151,BOL,2007,Bolivia (Plurinational State of),False,BOB,1170.352,149.066,1560.673,198.78,1419.041,180.741,0.749,0.749,0.362,0.637,1365.512,0.857
152,BOL,2008,Bolivia (Plurinational State of),False,BOB,1313.458,181.459,1778.625,245.724,1604.776,221.706,0.738,0.738,0.373,0.626,1546.041,0.849
153,BOL,2009,Bolivia (Plurinational State of),False,BOB,1323.405,188.519,1914.411,272.708,1698.401,241.938,0.691,0.691,0.365,0.634,1618.908,0.817
154,BOL,2011,Bolivia (Plurinational State of),False,BOB,1639.016,236.273,2274.676,327.907,2042.112,294.381,0.72,0.72,0.365,0.634,1956.846,0.837
155,BOL,2012,Bolivia (Plurinational State of),False,BOB,1860.596,269.261,2608.66,377.52,2317.311,335.356,0.713,0.713,0.389,0.61,2234.627,0.832
156,BOL,2013,Bolivia (Plurinational State of),False,BOB,2098.532,303.695,2936.297,424.934,2606.16,377.158,0.714,0.714,0.394,0.605,2517.414,0.833
157,BOL,2014,Bolivia (Plurinational State of),False,BOB,2233.53,323.232,3005.954,435.015,2709.944,392.177,0.743,0.743,0.383,0.616,2619.742,0.852
158,BOL,2015,Bolivia (Plurinational State of),False,BOB,2463.37,356.493,3051.055,441.542,2838.459,410.776,0.807,0.807,0.361,0.638,2757.212,0.893
159,BOL,2016,Bolivia (Plurinational State of),True,BOB,2515.047,363.972,3331.753,482.164,2987.666,432.368,0.754,0.754,0.421,0.578,2923.4,0.86
160,BOL,2017,Bolivia (Plurinational State of),False,BOB,2602.06,376.564,3370.512,487.773,3056.575,442.341,0.772,0.772,0.408,0.591,2986.286,0.871
161,BOL,2018,Bolivia (Plurinational State of),False,BOB,2687.515,388.931,3385.334,489.918,3099.106,448.496,0.793,0.793,0.41,0.589,3036.424,0.885
162,BOL,2019,Bolivia (Plurinational State of),False,BOB,2694.432,389.932,3395.573,491.4,3118.589,451.315,0.793,0.793,0.395,0.604,3045.002,0.884
163,BOL,2020,Bolivia (Plurinational State of),False,BOB,3093.897,447.742,3494.982,505.786,3339.017,483.215,0.885,0.885,0.388,0.611,3294.439,0.939
164,BOL,2021,Bolivia (Plurinational State of),True,BOB,2710.388,392.241,3290.414,476.181,3060.153,442.859,0.823,0.823,0.396,0.603,3000.401,0.903
165,BOL,2022,Bolivia (Plurinational State of),False,BOB,2722.931,394.057,3340.118,483.374,3086.498,446.671,0.815,0.815,0.41,0.589,3031.524,0.898
166,BOL,2023,Bolivia (Plurinational State of),False,BOB,2767.086,400.447,3427.567,496.03,3147.608,455.515,0.807,0.807,0.423,0.576,3097.326,0.893
167,BRA,1995,Brazil,True,BRL,286.922,312.664,429.208,467.717,371.931,405.301,0.668,0.668,0.402,0.597,358.065,0.801
168,BRA,1996,Brazil,False,BRL,338.698,336.979,480.875,478.435,423.097,420.95,0.704,0.704,0.406,0.593,409.786,0.826
169,BRA,1997,Brazil,False,BRL,358.468,332.534,504.214,467.735,444.776,412.596,0.71,0.71,0.407,0.592,431.341,0.831
170,BRA,1998,Brazil,False,BRL,375.692,323.728,526.832,453.963,464.568,400.311,0.713,0.713,0.411,0.588,451.262,0.832
171,BRA,1999,Brazil,False,BRL,379.246,209.074,519.753,286.534,460.716,253.988,0.729,0.729,0.42,0.579,449.499,0.843
172,BRA,2000,Brazil,False,BRL,677.71,370.45,823.48,450.131,766.53,419.001,0.822,0.822,0.39,0.609,750.595,0.902
173,BRA,2001,Brazil,False,BRL,431.377,183.593,585.702,249.274,520.073,221.343,0.736,0.736,0.425,0.574,508.539,0.848
174,BRA,2002,Brazil,False,BRL,462.887,158.503,613.684,210.14,549.051,188.008,0.754,0.754,0.428,0.571,538.285,0.859
175,BRA,2003,Brazil,False,BRL,504.213,163.84,661.412,214.92,593.44,192.833,0.762,0.762,0.432,0.567,582.812,0.865
176,BRA,2004,Brazil,False,BRL,539.623,184.479,710.988,243.063,636.391,217.561,0.758,0.758,0.435,0.564,625.305,0.862
177,BRA,2005,Brazil,False,BRL,588.56,241.769,766.495,314.861,689.325,283.161,0.767,0.767,0.433,0.566,677.527,0.868
178,BRA,2006,Brazil,False,BRL,644.396,296.229,831.763,382.362,749.473,344.534,0.774,0.774,0.439,0.56,738.079,0.873
179,BRA,2007,Brazil,False,BRL,700.347,359.695,899.248,461.85,812.246,417.166,0.778,0.778,0.437,0.562,799.797,0.875
180,BRA,2008,Brazil,False,BRL,764.939,417.141,1001.963,546.396,898.461,489.954,0.763,0.763,0.436,0.563,883.451,0.865
181,BRA,2009,Brazil,False,BRL,808.044,404.137,1027.881,514.087,930.523,465.395,0.786,0.786,0.442,0.557,917.962,0.88
182,BRA,2011,Brazil,False,BRL,1036.805,619.792,1335.797,798.526,1202.475,718.827,0.776,0.776,0.445,0.554,1186.301,0.873
183,BRA,2012,Brazil,True,BRL,1150.739,589.196,1463.03,749.093,1323.661,677.734,0.786,0.786,0.446,0.553,1306.884,0.88
184,BRA,2013,Brazil,False,BRL,1236.474,573.48,1556.94,722.113,1413.38,655.529,0.794,0.794,0.447,0.552,1396.706,0.885
185,BRA,2014,Brazil,False,BRL,1367.049,580.993,1750.144,743.808,1576.757,670.119,0.781,0.781,0.452,0.547,1558.596,0.877
186,BRA,2015,Brazil,False,BRL,1502.491,451.618,1886.516,567.048,1710.604,514.173,0.796,0.796,0.458,0.541,1694.503,0.886
187,BRA,2016,Brazil,False,BRL,1708.923,489.478,2107.729,603.707,1924.736,551.293,0.81,0.81,0.458,0.541,1908.326,0.895
188,BRA,2017,Brazil,False,BRL,1804.623,565.466,2220.671,695.832,2028.61,635.651,0.812,0.812,0.461,0.538,2012.647,0.896
189,BRA,2018,Brazil,False,BRL,1894.253,518.429,2343.183,641.296,2135.624,584.49,0.808,0.808,0.462,0.537,2118.718,0.894
190,BRA,2019,Brazil,False,BRL,2010.348,509.662,2496.269,632.853,2271.106,575.769,0.805,0.805,0.463,0.536,2253.308,0.892
