,country,year,ratio,female_share,balanced_ratio
345,Switzerland,2018,0.63,0.477,0.773
69,Australia,2005,0.63,0.479,0.773
1004,Japan,1997,0.631,0.306,0.773
1642,Rwanda,2023,0.631,0.452,0.773
72,Australia,2008,0.631,0.475,0.774
941,Iceland,2009,0.632,0.496,0.774
710,United Kingdom of Great Britain and Northern Ireland,2009,0.633,0.504,0.775
940,Iceland,2008,0.633,0.483,0.775
76,Australia,2012,0.634,0.472,0.776
1440,Pakistan,2011,0.634,0.128,0.776
346,Switzerland,2019,0.634,0.479,0.776
344,Switzerland,2017,0.634,0.475,0.776
35,Armenia,2013,0.634,0.432,0.776
100,Austria,2015,0.634,0.458,0.776
1085,Republic of Korea,2016,0.634,0.365,0.776
739,Georgia,2013,0.635,0.439,0.777
227,Bolivia (Plurinational State of),1991,0.635,0.338,0.777
44,Armenia,2023,0.635,0.467,0.777
1078,Republic of Korea,2009,0.635,0.323,0.777
1922,Uzbekistan,2020,0.635,0.493,0.776
712,United Kingdom of Great Britain and Northern Ireland,2011,0.636,0.504,0.777
1843,Uganda,2012,0.636,0.329,0.777
94,Austria,2009,0.636,0.45,0.777
1083,Republic of Korea,2014,0.636,0.357,0.778
1386,Netherlands,2012,0.636,0.464,0.778
78,Australia,2014,0.637,0.489,0.778
711,United Kingdom of Great Britain and Northern Ireland,2010,0.637,0.503,0.778
3,Angola,2019,0.637,0.299,0.778
504,Germany,2016,0.637,0.481,0.778
945,Iceland,2013,0.637,0.495,0.778
1145,Luxembourg,2007,0.637,0.421,0.778
1647,Senegal,2022,0.638,0.332,0.779
1264,Mali,2015,0.638,0.26,0.779
1641,Rwanda,2022,0.638,0.441,0.779
1921,Uzbekistan,2019,0.638,0.506,0.779
1079,Republic of Korea,2010,0.638,0.328,0.779
1005,Japan,1998,0.638,0.306,0.779
40,Armenia,2019,0.638,0.477,0.779
938,Iceland,2006,0.639,0.481,0.78
103,Austria,2018,0.639,0.465,0.779
43,Armenia,2022,0.639,0.468,0.78
67,Australia,2003,0.639,0.467,0.78
1086,Republic of Korea,2017,0.639,0.372,0.779
1379,Netherlands,2005,0.639,0.408,0.78
1080,Republic of Korea,2011,0.64,0.332,0.78
508,Germany,2020,0.64,0.469,0.78
919,Ireland,2007,0.64,0.497,0.781
713,United Kingdom of Great Britain and Northern Ireland,2012,0.641,0.502,0.781
118,Azerbaijan,2020,0.641,0.401,0.781
1265,Mali,2016,0.641,0.238,0.781
1224,Madagascar,2005,0.642,0.418,0.782
1923,Uzbekistan,2021,0.643,0.511,0.783
939,Iceland,2007,0.643,0.48,0.782
1315,Mauritius,2001,0.643,0.339,0.782
1962,South Africa,2020,0.643,0.461,0.783
1384,Netherlands,2010,0.644,0.463,0.783
71,Australia,2007,0.644,0.48,0.783
73,Australia,2009,0.644,0.476,0.784
741,Georgia,2015,0.644,0.455,0.783
1082,Republic of Korea,2013,0.645,0.342,0.784
714,United Kingdom of Great Britain and Northern Ireland,2013,0.645,0.503,0.784
98,Austria,2013,0.645,0.442,0.784
11,Albania,2021,0.954,0.46,0.976
1953,South Africa,2007,0.954,0.364,0.976
404,Comoros,2014,0.955,0.283,0.977
389,Colombia,2009,0.956,0.412,0.977
384,Colombia,2003,0.956,0.413,0.977
786,Guatemala,2014,0.957,0.307,0.978
398,Colombia,2018,0.957,0.435,0.978
385,Colombia,2004,0.957,0.414,0.978
1820,Türkiye,2012,0.957,0.252,0.978
1788,Thailand,2012,0.957,0.451,0.978
785,Guatemala,2013,0.957,0.314,0.978
1838,"Tanzania, United Republic of",2020,0.958,0.317,0.978
399,Colombia,2019,0.958,0.423,0.979
1783,Togo,2019,0.959,0.257,0.979
1340,Malaysia,2012,0.96,0.355,0.979
1772,Eswatini,1994,0.96,,0.979
1343,Malaysia,2015,0.961,0.362,0.98
675,Fiji,2016,0.961,0.342,0.98
184,Bahrain,1999,0.962,0.111,0.98
225,Bermuda,2013,0.962,0.455,0.98
1458,Panama,2010,0.963,0.397,0.981
1818,Türkiye,2010,0.963,0.233,0.981
220,Belize,2017,0.964,0.361,0.981
1463,Panama,2015,0.964,0.421,0.982
1341,Malaysia,2013,0.965,0.352,0.982
219,Belize,2016,0.965,0.351,0.982
784,Guatemala,2012,0.965,0.289,0.982
1045,Kenya,2022,0.965,0.328,0.982
150,Bangladesh,2013,0.966,0.269,0.983
674,Fiji,2011,0.966,0.314,0.983
1352,Namibia,2016,0.967,0.443,0.983
217,Belize,2014,0.967,0.377,0.983
1467,Panama,2019,0.968,0.434,0.983
388,Colombia,2008,0.968,0.408,0.984
1504,Philippines,1998,0.969,0.408,0.984
788,Guatemala,2016,0.97,0.292,0.984
386,Colombia,2005,0.97,0.412,0.985
402,Colombia,2023,0.971,0.44,0.985
401,Colombia,2022,0.972,0.435,0.985
293,Botswana,2011,0.972,0.419,0.986
1790,Thailand,2014,0.973,0.449,0.986
1510,Philippines,2006,0.974,0.399,0.986
1348,Malaysia,2020,0.975,0.405,0.987
185,Bahrain,2000,0.975,0.166,0.987
