,ISO,country,year,sex,avg monthly earnings,local currency
93,ALB,Albania,2017,M,51392.033,Lek (ALL)
94,ALB,Albania,2017,M,973.972,Lek (ALL)
95,ALB,Albania,2017,M,431.503,Lek (ALL)
96,ALB,Albania,2017,F,46017.64,Lek (ALL)
97,ALB,Albania,2017,F,872.117,Lek (ALL)
98,ALB,Albania,2017,F,386.378,Lek (ALL)
99,ALB,Albania,2016,T,47522.434,Lek (ALL)
100,ALB,Albania,2016,T,898.585,Lek (ALL)
101,ALB,Albania,2016,T,382.806,Lek (ALL)
102,ALB,Albania,2016,M,50083.853,Lek (ALL)
103,ALB,Albania,2016,M,947.018,Lek (ALL)
104,ALB,Albania,2016,M,403.438,Lek (ALL)
105,ALB,Albania,2016,F,44354.206,Lek (ALL)
106,ALB,Albania,2016,F,838.678,Lek (ALL)
107,ALB,Albania,2016,F,357.285,Lek (ALL)
108,ALB,Albania,2015,T,46829.0,Lek (ALL)
109,ALB,Albania,2015,T,891.556,Lek (ALL)
110,ALB,Albania,2015,T,371.772,Lek (ALL)
111,ALB,Albania,2015,M,48358.0,Lek (ALL)
112,ALB,Albania,2015,M,920.666,Lek (ALL)
113,ALB,Albania,2015,M,383.91,Lek (ALL)
114,ALB,Albania,2015,F,45033.0,Lek (ALL)
115,ALB,Albania,2015,F,857.362,Lek (ALL)
116,ALB,Albania,2015,F,357.514,Lek (ALL)
117,ALB,Albania,1991,T,678.0,Old lek (ALK)
118,ALB,Albania,1990,T,579.0,Old lek (ALK)
119,ALB,Albania,1989,T,563.0,Old lek (ALK)
120,ALB,Albania,1988,T,558.0,Old lek (ALK)
121,ALB,Albania,1987,T,556.0,Old lek (ALK)
122,ALB,Albania,1986,T,555.0,Old lek (ALK)
123,ALB,Albania,1985,T,547.0,Old lek (ALK)
124,ALB,Albania,1984,T,543.0,Old lek (ALK)
125,ALB,Albania,1983,T,544.0,Old lek (ALK)
126,ALB,Albania,1982,T,545.0,Old lek (ALK)
127,ALB,Albania,1981,T,544.0,Old lek (ALK)
128,ALB,Albania,1980,T,546.0,Old lek (ALK)
129,AND,Andorra,2008,T,1946.74,Euro (EUR)
130,AND,Andorra,2007,T,1851.47,Euro (EUR)
131,AND,Andorra,2006,T,1762.52,Euro (EUR)
132,AND,Andorra,2005,T,1662.46,Euro (EUR)
133,AND,Andorra,2004,T,1575.55,Euro (EUR)
134,AND,Andorra,2003,T,1494.85,Euro (EUR)
135,AND,Andorra,2002,T,1412.68,Euro (EUR)
136,AND,Andorra,2001,T,1349.03,Euro (EUR)
137,AND,Andorra,2000,T,1249.0,Euro (EUR)
138,AND,Andorra,1999,T,1185.4,Euro (EUR)
139,AND,Andorra,1998,T,1145.8,Euro (EUR)
140,ANT,Netherlands Antilles,1988,T,1679.0,Netherlands Antillean guilder (ANG)
141,ANT,Netherlands Antilles,1987,T,1577.0,Netherlands Antillean guilder (ANG)
142,ANT,Netherlands Antilles,1986,T,1664.0,Netherlands Antillean guilder (ANG)
143,ANT,Netherlands Antilles,1986,M,1936.0,Netherlands Antillean guilder (ANG)
144,ANT,Netherlands Antilles,1986,F,1251.0,Netherlands Antillean guilder (ANG)
145,ANT,Netherlands Antilles,1985,T,1863.0,Netherlands Antillean guilder (ANG)
146,ANT,Netherlands Antilles,1985,M,2099.0,Netherlands Antillean guilder (ANG)
147,ANT,Netherlands Antilles,1985,F,1501.0,Netherlands Antillean guilder (ANG)
148,ANT,Netherlands Antilles,1984,T,1780.0,Netherlands Antillean guilder (ANG)
149,ANT,Netherlands Antilles,1984,M,2076.0,Netherlands Antillean guilder (ANG)
150,ANT,Netherlands Antilles,1984,F,1432.0,Netherlands Antillean guilder (ANG)
151,ANT,Netherlands Antilles,1983,T,1761.0,Netherlands Antillean guilder (ANG)
152,ANT,Netherlands Antilles,1983,M,1931.0,Netherlands Antillean guilder (ANG)
153,ANT,Netherlands Antilles,1983,F,1397.0,Netherlands Antillean guilder (ANG)
154,ANT,Netherlands Antilles,1982,T,1135.0,Netherlands Antillean guilder (ANG)
155,ANT,Netherlands Antilles,1981,T,1306.0,Netherlands Antillean guilder (ANG)
156,ANT,Netherlands Antilles,1980,T,982.0,Netherlands Antillean guilder (ANG)
157,ANT,Netherlands Antilles,1978,T,896.0,Netherlands Antillean guilder (ANG)
158,ANT,Netherlands Antilles,1977,T,902.0,Netherlands Antillean guilder (ANG)
159,ANT,Netherlands Antilles,1976,T,652.0,Netherlands Antillean guilder (ANG)
160,ANT,Netherlands Antilles,1975,T,601.0,Netherlands Antillean guilder (ANG)
161,ANT,Netherlands Antilles,1974,T,520.0,Netherlands Antillean guilder (ANG)
162,ANT,Netherlands Antilles,1973,T,449.0,Netherlands Antillean guilder (ANG)
163,ARE,United Arab Emirates,2009,T,7450.614,United Arab Emirates dirham (AED)
164,ARE,United Arab Emirates,2009,T,3017.269,United Arab Emirates dirham (AED)
165,ARE,United Arab Emirates,2009,T,2028.758,United Arab Emirates dirham (AED)
166,ARE,United Arab Emirates,2009,M,7917.571,United Arab Emirates dirham (AED)
167,ARE,United Arab Emirates,2009,M,3206.372,United Arab Emirates dirham (AED)
168,ARE,United Arab Emirates,2009,M,2155.908,United Arab Emirates dirham (AED)
169,ARE,United Arab Emirates,2009,F,5550.968,United Arab Emirates dirham (AED)
170,ARE,United Arab Emirates,2009,F,2247.971,United Arab Emirates dirham (AED)
171,ARE,United Arab Emirates,2009,F,1511.496,United Arab Emirates dirham (AED)
172,ARG,Argentina,2023,T,190754.004,Argentine peso (ARS)
173,ARG,Argentina,2023,T,1239.416,Argentine peso (ARS)
174,ARG,Argentina,2023,T,643.878,Argentine peso (ARS)
175,ARG,Argentina,2023,M,214733.502,Argentine peso (ARS)
176,ARG,Argentina,2023,M,1395.222,Argentine peso (ARS)
177,ARG,Argentina,2023,M,724.819,Argentine peso (ARS)
178,ARG,Argentina,2023,F,163516.913,Argentine peso (ARS)
179,ARG,Argentina,2023,F,1062.444,Argentine peso (ARS)
180,ARG,Argentina,2023,F,551.941,Argentine peso (ARS)
181,ARG,Argentina,2022,T,83060.662,Argentine peso (ARS)
182,ARG,Argentina,2022,T,1210.281,Argentine peso (ARS)
183,ARG,Argentina,2022,T,635.912,Argentine peso (ARS)
184,ARG,Argentina,2022,M,93993.388,Argentine peso (ARS)
185,ARG,Argentina,2022,M,1369.582,Argentine peso (ARS)
186,ARG,Argentina,2022,M,719.613,Argentine peso (ARS)
187,ARG,Argentina,2022,F,70482.564,Argentine peso (ARS)
188,ARG,Argentina,2022,F,1027.005,Argentine peso (ARS)
189,ARG,Argentina,2022,F,539.614,Argentine peso (ARS)
190,ARG,Argentina,2021,T,51752.749,Argentine peso (ARS)
191,ARG,Argentina,2021,T,1203.938,Argentine peso (ARS)
192,ARG,Argentina,2021,T,544.819,Argentine peso (ARS)
193,ARG,Argentina,2021,M,58629.244,Argentine peso (ARS)
194,ARG,Argentina,2021,M,1363.907,Argentine peso (ARS)
195,ARG,Argentina,2021,M,617.21,Argentine peso (ARS)
196,ARG,Argentina,2021,F,43757.025,Argentine peso (ARS)
197,ARG,Argentina,2021,F,1017.931,Argentine peso (ARS)
198,ARG,Argentina,2021,F,460.645,Argentine peso (ARS)
199,ARG,Argentina,2020,T,36282.026,Argentine peso (ARS)
200,ARG,Argentina,2020,T,1209.431,Argentine peso (ARS)
201,ARG,Argentina,2020,T,514.353,Argentine peso (ARS)
202,ARG,Argentina,2020,M,40458.771,Argentine peso (ARS)
203,ARG,Argentina,2020,M,1348.66,Argentine peso (ARS)
204,ARG,Argentina,2020,M,573.565,Argentine peso (ARS)
205,ARG,Argentina,2020,F,31428.096,Argentine peso (ARS)
206,ARG,Argentina,2020,F,1047.63,Argentine peso (ARS)
207,ARG,Argentina,2020,F,445.541,Argentine peso (ARS)
208,ARG,Argentina,2019,T,25562.726,Argentine peso (ARS)
209,ARG,Argentina,2019,T,1153.437,Argentine peso (ARS)
210,ARG,Argentina,2019,T,530.921,Argentine peso (ARS)
211,ARG,Argentina,2019,M,28726.973,Argentine peso (ARS)
212,ARG,Argentina,2019,M,1296.214,Argentine peso (ARS)
213,ARG,Argentina,2019,M,596.64,Argentine peso (ARS)
214,ARG,Argentina,2019,F,21861.66,Argentine peso (ARS)
215,ARG,Argentina,2019,F,986.438,Argentine peso (ARS)
216,ARG,Argentina,2019,F,454.052,Argentine peso (ARS)
217,ARG,Argentina,2018,T,18457.024,Argentine peso (ARS)
218,ARG,Argentina,2018,T,1262.229,Argentine peso (ARS)
219,ARG,Argentina,2018,T,656.951,Argentine peso (ARS)
220,ARG,Argentina,2018,M,20937.729,Argentine peso (ARS)
221,ARG,Argentina,2018,M,1431.878,Argentine peso (ARS)
222,ARG,Argentina,2018,M,745.248,Argentine peso (ARS)
223,ARG,Argentina,2018,F,15579.87,Argentine peso (ARS)
224,ARG,Argentina,2018,F,1065.468,Argentine peso (ARS)
225,ARG,Argentina,2018,F,554.543,Argentine peso (ARS)
226,ARG,Argentina,2017,T,14490.073,Argentine peso (ARS)
227,ARG,Argentina,2017,T,1307.518,Argentine peso (ARS)
228,ARG,Argentina,2017,T,874.861,Argentine peso (ARS)
229,ARG,Argentina,2017,M,16382.998,Argentine peso (ARS)
230,ARG,Argentina,2017,M,1478.327,Argentine peso (ARS)
231,ARG,Argentina,2017,M,989.15,Argentine peso (ARS)
232,ARG,Argentina,2017,F,12258.414,Argentine peso (ARS)
233,ARG,Argentina,2017,F,1106.143,Argentine peso (ARS)
234,ARG,Argentina,2017,F,740.121,Argentine peso (ARS)
