,ISO,year,country,break,local_currency_code,F_local,F_usd,M_local,M_usd,T_local,T_usd,ratio,female_share,male_share,balanced_avg,balanced_ratio,ratio_usd
398,COL,2018,Colombia,False,COP,1118911.025,378.56,1168902.631,395.474,1147142.232,388.111,0.957,0.435,0.564,1143906.828,0.978,0.9572310695519807
399,COL,2019,Colombia,False,COP,1206835.044,367.756,1258575.682,383.522,1236686.667,376.852,0.958,0.423,0.576,1232705.363,0.979,0.9588915368609884
400,COL,2021,Colombia,False,COP,1266773.427,338.325,1261944.608,337.036,1263928.922,337.566,1.003,0.41,0.589,1264359.017,1.001,1.0038245172622509
401,COL,2022,Colombia,True,COP,1549456.739,364.048,1593652.171,374.431,1574407.971,369.91,0.972,0.435,0.564,1571554.455,0.985,0.972269924231701
402,COL,2023,Colombia,False,COP,1696446.598,392.155,1746171.171,403.65,1724252.401,398.583,0.971,0.44,0.559,1721308.884,0.985,0.9715223584788802
403,COM,2004,Comoros,False,KMF,98117.352,248.082,115763.108,292.698,112039.802,283.284,0.847,0.211,0.788,106940.23,0.917,0.8475698501527171
404,COM,2014,Comoros,False,KMF,81680.524,220.569,85442.702,230.728,84376.213,227.848,0.955,0.283,0.716,83561.613,0.977,0.9559697999375888
405,COM,2021,Comoros,False,KMF,85218.239,204.873,114104.982,274.32,105355.189,253.285,0.746,0.302,0.697,99661.61,0.855,0.746839457567804
406,CPV,2015,Cabo Verde,True,CVE,30874.339,310.652,33332.483,335.385,32193.003,323.92,0.926,0.463,0.536,32103.411,0.961,0.926254901083829
407,CRI,1990,Costa Rica,False,CRC,18508.0,202.098,22470.0,245.361,21233.0,231.854,0.823,0.312,0.687,20489.0,0.903,0.8236761343489798
408,CRI,1991,Costa Rica,False,CRC,23843.0,194.744,27124.0,221.543,26079.0,213.007,0.879,0.318,0.681,25483.5,0.935,0.8790347697738137
409,CRI,1992,Costa Rica,False,CRC,29848.0,221.908,34583.0,257.111,33070.0,245.862,0.863,0.319,0.68,32215.5,0.926,0.8630824818852557
410,CRI,1993,Costa Rica,False,CRC,37242.0,261.951,41304.0,290.522,40020.0,281.491,0.901,0.316,0.683,39273.0,0.948,0.9016563289527129
411,CRI,1994,Costa Rica,False,CRC,42435.0,270.172,49247.0,313.542,47119.0,299.994,0.861,0.312,0.687,45841.0,0.925,0.8616772234660749
412,CRI,1995,Costa Rica,False,CRC,50837.0,282.853,59809.0,332.773,56907.0,316.626,0.849,0.323,0.676,55323.0,0.918,0.8499878295414591
413,CRI,1996,Costa Rica,False,CRC,60739.0,292.452,68807.0,331.298,66228.0,318.88,0.882,0.319,0.68,64773.0,0.937,0.882746047365212
414,CRI,1997,Costa Rica,False,CRC,72399.0,311.263,77307.0,332.364,75687.0,325.399,0.936,0.33,0.669,74853.0,0.967,0.93651237799521
415,CRI,1998,Costa Rica,False,CRC,78949.0,306.921,89794.0,349.082,86161.0,334.958,0.879,0.334,0.665,84371.5,0.935,0.8792232197592542
416,CRI,1999,Costa Rica,False,CRC,84933.6,297.298,100530.4,351.893,95235.4,333.358,0.844,0.339,0.66,92732.0,0.915,0.8448534071436489
417,CRI,2000,Costa Rica,False,CRC,97042.0,314.881,111081.0,360.434,106272.0,344.83,0.873,0.342,0.657,104061.5,0.932,0.8736162515190019
418,CRI,2001,Costa Rica,False,CRC,123233.0,374.716,137032.0,416.674,132037.0,401.486,0.899,0.361,0.638,130132.5,0.946,0.899302572274728
419,CRI,2002,Costa Rica,False,CRC,126196.864,350.725,148041.277,411.434,140127.922,389.442,0.852,0.362,0.637,137119.07,0.92,0.852445349679414
420,CRI,2003,Costa Rica,False,CRC,142190.262,356.668,158220.563,396.879,152514.108,382.565,0.898,0.355,0.644,150205.412,0.946,0.8986819660400273
421,CRI,2004,Costa Rica,False,CRC,156834.0,358.122,172119.0,393.024,166804.0,380.888,0.911,0.347,0.652,164476.5,0.953,0.9111962628236444
422,CRI,2005,Costa Rica,False,CRC,385702.0,807.268,385754.0,807.377,385737.0,807.341,0.999,0.326,0.673,385728.0,0.999,0.9998649949156343
423,CRI,2006,Costa Rica,False,CRC,190884.445,373.33,218194.382,426.743,207932.65,406.673,0.874,0.375,0.624,204539.413,0.933,0.8748356739302109
424,CRI,2007,Costa Rica,False,CRC,211304.768,409.016,250688.616,485.25,235611.362,456.066,0.842,0.382,0.617,230996.692,0.914,0.8428974755280784
425,CRI,2008,Costa Rica,False,CRC,575389.0,1093.406,577400.0,1097.227,576699.0,1095.895,0.996,0.348,0.651,576394.5,0.998,0.9965175847841876
426,CRI,2010,Costa Rica,False,CRC,350939.289,667.402,390655.068,742.932,374645.139,712.484,0.898,0.403,0.596,370797.178,0.946,0.89833524467919
427,CRI,2011,Costa Rica,False,CRC,378174.028,747.876,400326.513,791.684,391602.263,774.431,0.944,0.393,0.606,389250.27,0.971,0.9446647904972186
428,CRI,2012,Costa Rica,False,CRC,413323.896,821.878,450254.744,895.314,435125.827,865.231,0.917,0.409,0.59,431789.32,0.957,0.9179773800029934
429,CRI,2013,Costa Rica,False,CRC,449991.628,900.403,489771.182,979.999,473389.803,947.221,0.918,0.411,0.588,469881.405,0.957,0.9187795089586827
430,CRI,2014,Costa Rica,False,CRC,454867.967,844.981,508735.864,945.048,486979.629,904.633,0.894,0.403,0.596,481801.915,0.944,0.8941143730265553
431,CRI,2015,Costa Rica,False,CRC,474344.99,887.346,515419.672,964.184,498637.395,932.79,0.92,0.408,0.591,494882.331,0.958,0.9203077420907213
432,CRI,2016,Costa Rica,False,CRC,471948.051,866.374,525525.174,964.728,503547.601,924.383,0.898,0.41,0.589,498736.612,0.946,0.8980500203166074
433,CRI,2017,Costa Rica,False,CRC,496643.614,875.123,530265.432,934.367,516404.404,909.943,0.936,0.412,0.587,513454.523,0.967,0.9365945072974539
434,CRI,2018,Costa Rica,False,CRC,478917.712,830.053,506934.934,878.612,495919.093,859.52,0.944,0.393,0.606,492926.323,0.971,0.9447321457025399
435,CRI,2019,Costa Rica,False,CRC,498861.122,849.422,543674.85,925.728,525206.193,894.281,0.917,0.412,0.587,521267.986,0.957,0.9175719001693803
436,CRI,2020,Costa Rica,False,CRC,544099.453,930.242,521154.522,891.013,530199.363,906.477,1.044,0.394,0.605,532626.987,1.021,1.0440274159860743
437,CRI,2021,Costa Rica,False,CRC,464923.057,748.928,492865.398,793.939,481683.715,775.927,0.943,0.4,0.599,478894.227,0.97,0.9433067275949412
438,CRI,2022,Costa Rica,False,CRC,542872.046,838.884,538442.401,832.039,540374.83,835.025,1.008,0.436,0.563,540657.223,1.004,1.0082267778313276
439,CUW,2018,Curaçao,False,ANG,2470.9,1380.391,2909.42,1625.374,2675.09,1494.464,0.849,0.534,0.465,2690.16,0.918,0.8492759204958367
440,CYP,1990,Cyprus,False,CYP,458.0,999.826,674.0,1471.359,585.0,1277.07,0.679,0.412,0.587,566.0,0.809,0.6795255270807465
441,CYP,1991,Cyprus,False,CYP,504.0,1085.205,730.0,1571.824,637.0,1371.578,0.69,0.411,0.588,617.0,0.816,0.690411267419253
442,CYP,1992,Cyprus,False,CYP,538.0,1196.756,790.0,1757.318,687.0,1528.2,0.681,0.408,0.591,664.0,0.81,0.681012770597012
443,CYP,1993,Cyprus,False,CYP,590.0,1186.156,862.0,1732.994,764.0,1535.971,0.684,0.36,0.639,726.0,0.812,0.6844547644134948
444,CYP,1994,Cyprus,False,CYP,632.0,1284.054,909.0,1846.844,795.0,1615.227,0.695,0.411,0.588,770.5,0.82,0.6952693351468776
445,CYP,1995,Cyprus,False,CYP,661.0,1461.031,944.0,2086.556,829.0,1832.368,0.7,0.406,0.593,802.5,0.823,0.7002117364690906
446,CYP,1996,Cyprus,False,CYP,701.0,1503.288,988.0,2118.756,870.0,1865.707,0.709,0.411,0.588,844.5,0.83,0.7095144509325284
447,CYP,1997,Cyprus,False,CYP,749.0,1457.49,1042.0,2027.642,922.0,1794.133,0.718,0.409,0.59,895.5,0.836,0.7188103225322813
448,CYP,1998,Cyprus,False,CYP,730.79,1411.267,992.42,1916.514,884.47,1708.046,0.736,0.412,0.587,861.605,0.848,0.7363718710116389
449,CYP,1999,Cyprus,False,CYP,757.58,1395.309,1027.98,1893.331,916.42,1687.86,0.736,0.412,0.587,892.78,0.848,0.7369598870984524
450,CYP,2000,Cyprus,False,CYP,807.55,1297.458,1090.86,1752.641,973.97,1564.839,0.74,0.412,0.587,949.204,0.85,0.7402873720288411
451,CYP,2001,Cyprus,False,CYP,846.41,1316.126,1147.22,1783.871,998.64,1552.836,0.737,0.493,0.506,996.815,0.849,0.7377921385571041
452,CYP,2002,Cyprus,False,CYP,875.02,1432.909,1186.28,1942.62,1032.54,1690.859,0.737,0.493,0.506,1030.65,0.848,0.7376167238059941
453,CYP,2003,Cyprus,False,CYP,933.3,1803.676,1279.1,2471.962,1108.29,2141.858,0.729,0.493,0.506,1106.199,0.843,0.7296536111801071
454,CYP,2004,Cyprus,False,CYP,956.87,2041.974,1308.24,2791.802,1134.69,2421.444,0.731,0.493,0.506,1132.555,0.844,0.7314179157404429
455,CYP,2005,Cyprus,False,CYP,1231.912,2654.58,1793.599,3864.928,1539.471,3317.321,0.686,0.452,0.547,1512.755,0.814,0.6868381506718884
456,CYP,2006,Cyprus,False,CYP,1314.284,2863.889,1931.502,4208.835,1654.774,3605.833,0.68,0.448,0.551,1622.893,0.809,0.6804469645400687
457,CYP,2007,Cyprus,False,CYP,1610.861,3780.255,2396.562,5624.081,2041.872,4791.722,0.672,0.451,0.548,2003.711,0.803,0.672155148547825
458,CYP,2009,Cyprus,False,EUR,1679.278,2342.228,2432.85,3393.297,2067.263,2883.383,0.69,0.485,0.514,2056.063,0.816,0.6902513985660554
459,CYP,2010,Cyprus,False,EUR,1715.888,2274.782,2522.522,3344.149,2129.498,2823.111,0.68,0.487,0.512,2119.205,0.809,0.6802274659412605
460,CYP,2011,Cyprus,False,EUR,1793.441,2496.389,2653.166,3693.089,2227.478,3100.55,0.675,0.495,0.504,2223.303,0.806,0.6759623177237267
461,CYP,2012,Cyprus,False,EUR,1882.734,2418.915,2765.282,3552.803,2326.989,2989.69,0.68,0.496,0.503,2324.008,0.81,0.6808469256527874
462,CYP,2013,Cyprus,False,EUR,1889.847,2509.939,2673.852,3551.191,2281.072,3029.533,0.706,0.5,0.499,2281.849,0.828,0.7067879480433465
463,CYP,2014,Cyprus,False,EUR,1846.283,2452.788,2406.977,3197.671,2125.001,2823.066,0.767,0.502,0.497,2126.63,0.868,0.767054521869198
464,CYP,2015,Cyprus,False,EUR,1761.681,1954.608,2417.815,2682.597,2085.565,2313.962,0.728,0.506,0.493,2089.748,0.843,0.7286252836337325
465,CYP,2016,Cyprus,False,EUR,1741.832,1928.039,2392.545,2648.316,2071.341,2292.774,0.728,0.493,0.506,2067.188,0.842,0.7280245257741146
466,CYP,2017,Cyprus,False,EUR,1788.71,2020.672,2266.494,2560.415,2037.965,2302.251,0.789,0.478,0.521,2027.602,0.882,0.7891970637572425
467,CYP,2018,Cyprus,False,EUR,1698.608,2005.978,2306.965,2724.42,2017.198,2382.219,0.736,0.476,0.523,2002.786,0.848,0.7362954316882125
468,CYP,2019,Cyprus,False,EUR,1765.331,1976.243,2415.557,2704.154,2106.047,2357.666,0.73,0.476,0.523,2090.444,0.844,0.7308174756319351
469,CYP,2020,Cyprus,False,EUR,1896.373,2166.03,2553.811,2916.953,2242.566,2561.45,0.742,0.473,0.526,2225.092,0.852,0.7425659583819143
470,CYP,2021,Cyprus,False,EUR,1915.824,2265.923,2658.125,3143.872,2296.837,2716.562,0.72,0.486,0.513,2286.974,0.837,0.7207427656087779
471,CYP,2022,Cyprus,False,EUR,2068.562,2178.296,2887.932,3041.133,2493.307,2625.573,0.716,0.481,0.518,2478.247,0.834,0.7162777819976962
472,CYP,2023,Cyprus,False,EUR,2132.95,2306.292,2944.02,3183.277,2552.049,2759.451,0.724,0.483,0.516,2538.484,0.84,0.7245024545460542
473,CZE,2005,Czechia,False,EUR,431.423,536.729,590.056,734.083,517.308,643.58,0.731,0.458,0.541,510.739,0.844,0.7311557412445188
474,CZE,2006,Czechia,False,EUR,488.504,613.365,678.506,851.932,592.435,743.861,0.719,0.453,0.546,583.505,0.837,0.7199694341801928
475,CZE,2007,Czechia,False,EUR,749.747,1027.512,1038.733,1423.56,906.835,1242.797,0.721,0.456,0.543,894.24,0.838,0.7217904408665599
476,CZE,2008,Czechia,False,EUR,818.568,1203.914,1151.078,1692.955,999.148,1469.502,0.711,0.456,0.543,984.823,0.831,0.7111317193900606
477,CZE,2009,Czechia,False,EUR,994.568,1387.206,1347.583,1879.585,1185.811,1653.948,0.738,0.458,0.541,1171.075,0.849,0.7380384499769895
478,CZE,2010,Czechia,False,EUR,933.532,1237.599,1267.312,1680.096,1113.785,1476.563,0.736,0.459,0.54,1100.422,0.848,0.7366239786297926
479,CZE,2011,Czechia,False,EUR,1000.287,1392.355,1379.227,1919.822,1206.371,1679.214,0.725,0.456,0.543,1189.757,0.84,0.725252132749807
480,CZE,2012,Czechia,False,EUR,1068.164,1372.366,1457.899,1873.092,1277.034,1640.719,0.732,0.464,0.535,1263.031,0.845,0.7326741025000373
481,CZE,2013,Czechia,False,EUR,1045.04,1387.937,1422.495,1889.241,1247.865,1657.312,0.734,0.462,0.537,1233.767,0.847,0.734653228465823
482,CZE,2014,Czechia,False,EUR,1025.455,1362.318,1408.004,1870.535,1230.416,1634.609,0.728,0.464,0.535,1216.73,0.842,0.7283039344358699
483,CZE,2015,Czechia,False,EUR,1006.974,1117.25,1388.309,1540.347,1210.369,1342.92,0.725,0.466,0.533,1197.641,0.84,0.7253235796869147
484,CZE,2016,Czechia,False,EUR,1059.665,1172.947,1454.094,1609.541,1270.884,1406.746,0.728,0.464,0.535,1256.879,0.843,0.7287462698993067
485,CZE,2017,Czechia,False,EUR,1114.829,1259.401,1537.038,1736.363,1339.2,1512.87,0.725,0.468,0.531,1325.933,0.84,0.725309742260115
486,CZE,2018,Czechia,False,EUR,1233.148,1456.292,1701.143,2008.972,1477.487,1744.845,0.724,0.477,0.522,1467.145,0.84,0.7248941249554498
487,CZE,2019,Czechia,False,EUR,1391.495,1557.743,1916.199,2145.136,1664.638,1863.52,0.726,0.479,0.52,1653.847,0.841,0.7261744709892519
488,CZE,2020,Czechia,False,EUR,1517.318,1733.075,2095.848,2393.869,1815.723,2073.911,0.723,0.484,0.515,1806.583,0.839,0.7239640097265139
489,CZE,2021,Czechia,False,EUR,1590.959,1881.692,2064.702,2442.006,1838.401,2174.351,0.77,0.477,0.522,1827.83,0.87,0.7705517513060984
490,CZE,2022,Czechia,False,EUR,1695.435,1785.375,2223.287,2341.23,1970.678,2075.219,0.762,0.478,0.521,1959.36,0.865,0.7625799259363668
491,CZE,2023,Czechia,False,EUR,1889.463,2043.017,2475.027,2676.169,2193.188,2371.426,0.763,0.481,0.518,2182.245,0.865,0.7634110551314212
492,DEU,2002,Germany,False,EUR,2138.85,2022.44,2866.59,2710.572,2616.02,2473.64,0.746,0.344,0.655,2502.72,0.854,0.7461303370653869
493,DEU,2005,Germany,False,EUR,1878.71,2337.285,3116.372,3877.048,2563.374,3189.069,0.602,0.446,0.553,2497.541,0.752,0.6028517057307519
494,DEU,2006,Germany,False,EUR,1539.356,1932.814,2544.466,3194.829,2084.674,2617.514,0.604,0.457,0.542,2041.911,0.753,0.6049819880813653
495,DEU,2007,Germany,False,EUR,1760.907,2413.285,2870.774,3934.333,2363.375,3238.953,0.613,0.457,0.542,2315.84,0.76,0.6133911389808641
496,DEU,2008,Germany,False,EUR,1760.9,2589.853,2961.386,4355.475,2405.914,3538.51,0.594,0.462,0.537,2361.143,0.745,0.5946201045810158
497,DEU,2009,Germany,False,EUR,1833.052,2556.709,3022.961,4216.373,2466.733,3440.556,0.606,0.467,0.532,2428.006,0.754,0.6063763808372742
498,DEU,2010,Germany,False,EUR,1817.504,2409.495,3008.746,3988.744,2450.176,3248.239,0.604,0.468,0.531,2413.125,0.753,0.6040736131473967
499,DEU,2011,Germany,False,EUR,1855.812,2583.208,3048.345,4243.16,2486.438,3461.011,0.608,0.471,0.528,2452.078,0.756,0.6087934463937255
500,DEU,2012,Germany,False,EUR,1892.079,2430.922,3156.149,4054.984,2557.461,3285.797,0.599,0.473,0.526,2524.114,0.749,0.5994899116741275
501,DEU,2013,Germany,False,EUR,1973.86,2621.518,3233.0,4293.806,2633.832,3498.039,0.61,0.475,0.524,2603.43,0.758,0.6105348029230944
502,DEU,2014,Germany,False,EUR,2019.271,2682.602,3282.62,4360.964,2675.679,3554.641,0.615,0.48,0.519,2650.945,0.761,0.6151396801257704
503,DEU,2015,Germany,False,EUR,2093.427,2322.684,3410.633,3784.141,2778.176,3082.422,0.613,0.48,0.519,2752.029,0.76,0.6137942534382308
504,DEU,2016,Germany,False,EUR,2168.901,2400.763,3404.124,3768.035,2809.846,3110.228,0.637,0.481,0.518,2786.512,0.778,0.6371392516258474
505,DEU,2017,Germany,False,EUR,2221.042,2509.069,3420.914,3864.542,2850.34,3219.975,0.649,0.475,0.524,2820.978,0.787,0.6492539090013771
506,DEU,2018,Germany,False,EUR,2296.157,2711.657,3537.388,4177.493,2941.702,3474.017,0.649,0.479,0.52,2916.772,0.787,0.6491110816942123
507,DEU,2019,Germany,False,EUR,2440.019,2731.538,3671.386,4110.023,3074.658,3442.001,0.664,0.484,0.515,3055.702,0.798,0.6646040666925708
508,DEU,2020,Germany,False,EUR,3502.17,4000.165,5466.919,6244.294,4543.546,5189.621,0.64,0.469,0.53,4484.544,0.78,0.6406112524490358
509,DEU,2021,Germany,False,EUR,3424.243,4049.99,5112.925,6047.263,4321.553,5111.275,0.669,0.468,0.531,4268.584,0.802,0.6697228150983345
510,DJI,2017,Djibouti,True,DJF,96432.788,542.608,95293.852,536.199,95504.295,537.383,1.011,0.184,0.815,95863.32,1.005,1.011952651907221
511,DNK,1990,Denmark,False,DKK,12873.255,2080.17,18246.326,2948.397,16312.69,2635.943,0.705,0.359,0.64,15559.79,0.827,0.7055257483981975
512,DNK,1991,Denmark,False,DKK,13062.688,2042.175,18281.913,2858.131,16507.294,2580.693,0.714,0.34,0.659,15672.3,0.833,0.7145141352863112
513,DNK,2002,Denmark,False,EUR,2780.01,2628.704,3545.3,3352.343,3249.98,3073.096,0.784,0.385,0.614,3162.655,0.879,0.7841393318046513
514,DNK,2004,Denmark,False,EUR,2640.437,3284.445,3485.147,4335.182,3081.485,3833.066,0.757,0.477,0.522,3062.792,0.862,0.7576256314037104
515,DNK,2005,Denmark,False,EUR,2732.568,3399.561,3522.273,4382.026,3141.032,3907.727,0.775,0.482,0.517,3127.42,0.873,0.7757966292304063
516,DNK,2006,Denmark,False,EUR,2839.049,3564.706,3615.529,4539.654,3243.664,4072.74,0.785,0.478,0.521,3227.288,0.879,0.7852373771216925
517,DNK,2007,Denmark,False,EUR,3481.766,4771.683,4299.238,5892.011,3919.312,5371.331,0.809,0.464,0.535,3890.502,0.894,0.8098564310215985
518,DNK,2008,Denmark,False,EUR,3510.304,5162.799,4429.592,6514.846,3980.118,5853.781,0.792,0.488,0.511,3969.948,0.884,0.7924667751164034
519,DNK,2009,Denmark,False,EUR,3705.826,5168.821,4521.67,6306.746,4113.236,5737.069,0.819,0.5,0.499,4113.747,0.9,0.8195701872249176
520,DNK,2010,Denmark,False,EUR,3580.964,4747.344,4170.229,5528.542,3876.425,5139.041,0.858,0.498,0.501,3875.596,0.923,0.8586972840217185
521,DNK,2011,Denmark,False,EUR,3741.845,5208.481,4349.651,6054.52,4056.476,5646.432,0.86,0.482,0.517,4045.747,0.924,0.8602632413469605
522,DNK,2012,Denmark,False,EUR,3832.729,4924.247,4522.333,5810.242,4196.064,5391.056,0.847,0.473,0.526,4177.531,0.917,0.8475115150109066
523,DNK,2013,Denmark,False,EUR,3885.95,5161.001,4673.957,6207.566,4289.899,5697.492,0.831,0.487,0.512,4279.953,0.907,0.8314049339145166
524,DNK,2014,Denmark,False,EUR,3927.687,5217.935,4799.33,6375.913,4374.809,5811.937,0.818,0.487,0.512,4363.508,0.9,0.8183824026457075
525,DNK,2015,Denmark,False,EUR,3987.424,4424.098,4874.18,5407.965,4444.607,4931.349,0.818,0.484,0.515,4430.802,0.899,0.8180707530466635
526,DNK,2016,Denmark,False,EUR,4017.366,4446.836,4837.038,5354.132,4433.877,4907.872,0.83,0.491,0.508,4427.201,0.907,0.8305428405575359
527,DNK,2017,Denmark,False,EUR,4015.676,4536.434,4984.993,5631.453,4501.776,5085.572,0.805,0.498,0.501,4500.334,0.892,0.8055530251251319
528,DNK,2018,Denmark,False,EUR,4084.978,4824.173,5070.776,5988.356,4581.099,5410.069,0.805,0.496,0.503,4577.877,0.892,0.8055922193002554
529,DNK,2019,Denmark,False,EUR,4214.601,4718.138,5190.906,5811.087,4707.56,5269.993,0.811,0.495,0.504,4702.753,0.896,0.8119200418097337
530,DNK,2020,Denmark,False,EUR,4776.425,5455.614,5733.827,6549.154,5273.986,6023.926,0.833,0.48,0.519,5255.126,0.908,0.8330257618006843
531,DNK,2021,Denmark,False,EUR,5151.531,6092.924,5987.452,7081.6,5583.08,6603.334,0.86,0.483,0.516,5569.491,0.924,0.8603880478987799
532,DNK,2022,Denmark,False,EUR,5218.516,5495.351,6037.343,6357.616,5642.185,5941.495,0.864,0.482,0.517,5627.929,0.927,0.8643729033021182
533,DNK,2023,Denmark,False,EUR,5174.567,5595.097,6108.578,6605.014,5666.941,6127.486,0.847,0.472,0.527,5641.572,0.917,0.8470984315854592
534,DOM,2000,Dominican Republic,True,DOP,3979.993,245.96,5210.158,321.983,4704.57,290.738,0.763,0.41,0.589,4595.075,0.866,0.7638912613398844
535,DOM,2001,Dominican Republic,False,DOP,4364.417,261.483,5550.204,332.527,5070.581,303.792,0.786,0.404,0.595,4957.31,0.88,0.7863511835129178
536,DOM,2002,Dominican Republic,False,DOP,4489.981,255.213,5646.97,320.977,5157.613,293.162,0.795,0.422,0.577,5068.475,0.885,0.7951130454830098
537,DOM,2003,Dominican Republic,False,DOP,4884.836,166.321,6143.956,209.192,5598.878,190.633,0.795,0.432,0.567,5514.396,0.885,0.7950638647749435
538,DOM,2004,Dominican Republic,False,DOP,5830.208,139.045,7467.786,178.1,6774.098,161.556,0.78,0.423,0.576,6648.996,0.876,0.7807130825379001
539,DOM,2005,Dominican Republic,False,DOP,6882.334,227.269,8405.184,277.556,7753.122,256.024,0.818,0.428,0.571,7643.759,0.9,0.818822147602646
540,DOM,2006,Dominican Republic,False,DOP,7400.17,222.227,9521.108,285.919,8588.013,257.898,0.777,0.439,0.56,8460.639,0.874,0.7772376092529703
541,DOM,2007,Dominican Republic,False,DOP,7940.664,239.38,10196.428,307.382,9217.967,277.885,0.778,0.433,0.566,9068.546,0.875,0.7787703899382526
542,DOM,2008,Dominican Republic,False,DOP,8678.233,251.329,11607.875,336.174,10298.722,298.26,0.747,0.446,0.553,10143.054,0.855,0.7476158179990124
543,DOM,2009,Dominican Republic,False,DOP,9676.714,269.008,12149.105,337.739,11038.588,306.867,0.796,0.449,0.55,10912.909,0.886,0.7964967030754517
544,DOM,2010,Dominican Republic,False,DOP,10348.724,281.053,12167.301,330.442,11326.755,307.614,0.85,0.462,0.537,11258.012,0.919,0.8505365540700032
545,DOM,2011,Dominican Republic,False,DOP,11345.169,297.87,12832.988,336.934,12128.816,318.445,0.884,0.473,0.526,12089.078,0.938,0.8840603797776418
546,DOM,2012,Dominican Republic,False,DOP,12672.785,322.296,13790.679,350.727,13259.004,337.205,0.918,0.475,0.524,13231.732,0.957,0.9189369509618592
547,DOM,2013,Dominican Republic,False,DOP,12563.319,300.597,14073.325,336.727,13371.922,319.944,0.892,0.464,0.535,13318.322,0.943,0.8927023968971897
548,DOM,2014,Dominican Republic,False,DOP,12938.756,297.103,14771.314,339.183,13895.798,319.079,0.875,0.477,0.522,13855.035,0.933,0.8759371784552882
549,DOM,2015,Dominican Republic,True,DOP,12509.756,277.714,13558.199,300.989,13062.85,289.992,0.922,0.472,0.527,13033.977,0.959,0.9226715926495653
550,DOM,2016,Dominican Republic,False,DOP,12884.637,279.709,14179.381,307.816,13570.556,294.599,0.908,0.47,0.529,13532.009,0.952,0.9086889570392703
551,DOM,2017,Dominican Republic,False,DOP,14006.166,294.654,15065.444,316.938,14544.43,305.977,0.929,0.491,0.508,14535.805,0.963,0.929689718493838
552,DOM,2018,Dominican Republic,False,DOP,15098.984,304.968,16788.524,339.094,15971.025,322.582,0.899,0.483,0.516,15943.754,0.947,0.8993612390664536
553,DOM,2019,Dominican Republic,False,DOP,16120.414,314.27,17618.909,343.483,16884.531,329.166,0.914,0.49,0.509,16869.661,0.955,0.9149506671363647
554,DOM,2020,Dominican Republic,True,DOP,18146.116,321.031,20212.957,357.596,19206.503,339.791,0.897,0.486,0.513,19179.536,0.946,0.8977477376704438
555,DOM,2021,Dominican Republic,False,DOP,19374.89,338.597,21513.446,375.97,20473.529,357.797,0.9,0.486,0.513,20444.167,0.947,0.900595792217464
556,DOM,2022,Dominican Republic,False,DOP,21228.651,384.989,23902.956,433.488,22602.613,409.906,0.888,0.486,0.513,22565.803,0.94,0.8881191636215996
557,DOM,2023,Dominican Republic,False,DOP,23807.72,423.945,27247.579,485.198,25548.746,454.947,0.873,0.493,0.506,25527.649,0.932,0.87375669314383
558,ECU,2001,Ecuador,False,USD,142.223,142.223,168.945,168.945,160.006,160.006,0.841,0.334,0.665,155.584,0.914,0.8418301814199889
559,ECU,2003,Ecuador,False,USD,192.426,192.426,215.249,215.249,207.696,207.696,0.893,0.33,0.669,203.837,0.944,0.893969309961951
560,ECU,2004,Ecuador,False,USD,215.063,215.063,237.416,237.416,229.958,229.958,0.905,0.333,0.666,226.239,0.95,0.9058488054722512
561,ECU,2005,Ecuador,False,USD,225.162,225.162,251.451,251.451,242.427,242.427,0.895,0.343,0.656,238.306,0.944,0.8954508035362755
562,ECU,2006,Ecuador,True,USD,245.953,245.953,264.448,264.448,258.327,258.327,0.93,0.33,0.669,255.2,0.963,0.9300618647144241
563,ECU,2007,Ecuador,False,USD,264.364,264.364,289.24,289.24,280.923,280.923,0.913,0.334,0.665,276.802,0.955,0.9139952980224034
564,ECU,2008,Ecuador,False,USD,279.42,279.42,308.596,308.596,298.705,298.705,0.905,0.339,0.66,294.008,0.95,0.905455676677598
565,ECU,2009,Ecuador,False,USD,301.463,301.463,325.098,325.098,317.0,317.0,0.927,0.342,0.657,313.28,0.962,0.927298845271272
566,ECU,2010,Ecuador,True,USD,342.061,342.061,361.149,361.149,354.506,354.506,0.947,0.348,0.651,351.605,0.972,0.9471464686320604
567,ECU,2011,Ecuador,False,USD,382.186,382.186,388.826,388.826,386.555,386.555,0.982,0.342,0.657,385.506,0.991,0.9829229526832053
568,ECU,2012,Ecuador,False,USD,413.459,413.459,406.076,406.076,408.62,408.62,1.018,0.344,0.655,409.767,1.009,1.0181813256631762
569,ECU,2013,Ecuador,False,USD,452.518,452.518,449.942,449.942,450.818,450.818,1.005,0.34,0.659,451.23,1.002,1.005725182356837
570,ECU,2014,Ecuador,True,USD,489.576,489.576,481.808,481.808,484.434,484.434,1.016,0.338,0.661,485.692,1.007,1.016122604855046
571,ECU,2015,Ecuador,False,USD,499.779,499.779,497.777,497.777,498.46,498.46,1.004,0.341,0.658,498.778,1.002,1.0040218812841895
572,ECU,2016,Ecuador,False,USD,495.968,495.968,499.111,499.111,498.023,498.023,0.993,0.346,0.653,497.539,0.996,0.9937028035847738
573,ECU,2017,Ecuador,False,USD,500.608,500.608,499.818,499.818,500.091,500.091,1.001,0.345,0.654,500.212,1.0,1.00158057532942
574,ECU,2018,Ecuador,False,USD,519.416,519.416,512.107,512.107,514.6,514.6,1.014,0.341,0.658,515.761,1.007,1.0142724079147523
