ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Togo,HIES - Living Standards Measurement Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2022,148.941,,,Currency: TGO - West African CFA franc (XOF),Repository: ILO-STATISTICS - Micro data processing
Tonga,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,685.193,,,Currency: TON - Pa'anga (TOP),Repository: ILO-STATISTICS - Micro data processing
Trinidad and Tobago,LFS - Continuous Sample Survey of the Population,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2016,911.02,,,Currency: TTO - Trinidad and Tobago dollar (TTD),Repository: ILO-STATISTICS - Micro data processing
Tunisia,LFS - National Population and Employment Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2019,265.995,,,Currency: TUN - Tunisian dinar (TND),Repository: ILO-STATISTICS - Micro data processing | Data reference period: Second quarter
Türkiye,LFS - Household Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,633.272,,,Currency: TUR - Turkish lira (TRY),Repository: ILO-STATISTICS - Micro data processing
Uganda,LFS - National Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2021,187.344,,,Currency: UGA - Ugandan shilling (UGX),Repository: ILO-STATISTICS - Micro data processing
Ukraine,ES - Survey of enterprises on matters pertaining to labor statistics,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2021,570.362,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: UKR - Hryvnia (UAH),"Geographical coverage: Total national, excluding some areas | Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies | Reference group coverage: Employees | Establishment size coverage: All establishments with at least 10 employees"
United Arab Emirates,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2009,2155.908,,,Value type: Real values | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked | Currency: ARE - United Arab Emirates dirham (AED),Data reference period: May | Population coverage: Excluding labour camps
United Kingdom of Great Britain and Northern Ireland,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,3664.324,,,Currency: GBR - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
United States of America,LFS - Current Population Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,5981.712,,,Currency: USA - United States dollar (USD),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Uruguay,LFS - Continous Household Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2020,964.646,Break in series,,Currency: URY - Uruguayan peso (UYU) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Uzbekistan,OE - Official Estimates,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2022,423.638,,,Working time arrangement coverage: Full-time workers | Currency: UZB - Uzbekistani som (UZS),
Vanuatu,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2010,458.187,,,Currency: VUT - Vatu (VUV),Repository: ILO-STATISTICS - Micro data processing
Viet Nam,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,348.776,,,Components of earnings/wages: Including overtime and/or irregular bonuses | Currency: VNM - Dông (VND),Repository: ILO-STATISTICS - Micro data processing
Yemen,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2010,165.048,,,Value type: Real values | Accounting concept: Net | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked | Currency: YEM - Yemeni rial (YER),
Zambia,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,161.187,,,Currency: ZMB - Zambian kwacha (ZMW),Repository: ILO-STATISTICS - Micro data processing
Zimbabwe,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Male,Currency: U.S. dollars,2023,119.809,,,Currency: ZWE - Zimbabwean dollar (ZWL),Repository: ILO-STATISTICS - Micro data processing
