,ISO,year,country,T,M,F,ratio,break,female_share,male_share,balanced_avg,balanced_ratio
114,ARG,2022,Argentina,83060.662,93993.388,70482.564,0.7498672566202209,False,0.46500820217955807,0.5349917978204419,82237.976,0.857056161012523
117,ARG,2023,Argentina,190754.004,214733.502,163516.913,0.7614876648358299,False,0.46819787237295357,0.5318021276270464,189125.20750000002,0.8645960798218819
165,ARM,2007,Armenia,57952.92,69032.061,42240.351,0.6118946818058931,True,0.41352869973585127,0.5864713002641487,55636.206000000006,0.7592241462331202
174,ARM,2010,Armenia,79081.411,92118.674,59741.188,0.6485241852265481,False,0.402664462583661,0.5973355374163389,75929.931,0.7867936558509451
177,ARM,2011,Armenia,82681.486,97430.606,64292.79,0.6598828914191501,False,0.4450842505734233,0.5549157494265766,80861.698,0.7950957201022417
180,ARM,2012,Armenia,88760.389,105034.109,69123.535,0.6581055969161409,False,0.45317348589304096,0.546826514106959,87078.822,0.7938042041955965
183,ARM,2013,Armenia,93306.883,110849.243,70296.765,0.6341654944815455,False,0.43258416908579544,0.5674158309142046,90573.004,0.7761337473139347
186,ARM,2014,Armenia,95690.029,114809.237,74654.281,0.6502462950781566,True,0.47613569791982846,0.5238643020801715,94731.75899999999,0.7880596938984318
189,ARM,2015,Armenia,100331.238,119184.393,79546.827,0.667426539647687,False,0.4756385646888611,0.5243614353111389,99365.61,0.8005468592202071
192,ARM,2016,Armenia,99931.079,119163.433,79541.311,0.6674976458591957,False,0.48539434611806015,0.5146056538819399,99352.372,0.8005980068598664
195,ARM,2017,Armenia,103505.383,122056.875,84423.741,0.6916754259028833,False,0.49295634001675215,0.5070436599832479,103240.30799999999,0.8177401117400773
198,ARM,2019,Armenia,119804.028,144778.041,92487.175,0.6388204617301045,False,0.47759799962004823,0.5224020003799518,118632.60800000001,0.7796100630275278
201,ARM,2020,Armenia,125733.844,151655.781,100066.646,0.6598274417247569,False,0.5024689210237775,0.4975310789762225,125861.21349999998,0.795055467981802
204,ARM,2021,Armenia,130559.108,158052.93,104116.368,0.6587436752991546,False,0.5097436874081815,0.49025631259181846,131084.649,0.7942681984066646
207,ARM,2022,Armenia,142818.811,171843.358,109879.633,0.6394173989546922,False,0.4684119135833105,0.5315880864166895,140861.49550000002,0.7800544258739606
210,ARM,2023,Armenia,159067.084,191768.267,121840.729,0.6353539660448619,False,0.46764384869377207,0.5323561513062279,156804.498,0.7770231756999727
213,ATG,2018,Antigua and Barbuda,2672.81,2871.245,2481.99,0.8644298901695954,False,0.5097815056967795,0.4902184943032205,2676.6175,0.9272860242451527
216,ATG,2023,Antigua and Barbuda,2840.209,3009.74,2682.598,0.8913055612777184,False,0.5182183883451225,0.48178161165487754,2846.169,0.9425294141001466
219,AUS,1969,Australia,,74.12,43.34,0.5847274689692391,False,,,58.730000000000004,0.7379533458198536
220,AUS,1970,Australia,,80.04,47.28,0.5907046476761619,False,,,63.660000000000004,0.7426955702167766
221,AUS,1971,Australia,,89.856,54.627,0.6079393696581197,False,,,72.2415,0.7561720063952161
222,AUS,1972,Australia,,98.7,67.297,0.6818338399189463,False,,,82.9985,0.8108218823231744
223,AUS,1973,Australia,,115.056,81.12,0.7050479766374635,False,,,98.088,0.8270124785906534
