ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Croatia,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,1245.609,,,Currency: HRV - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Curaçao,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2018,2470.9,,,Central tendency measure: Weighted mean | Value type: Real values | Accounting concept: Net | Working time arrangement coverage: Full-time and part time workers | Currency: CUW - Netherlands Antillean Guilder (ANG),Employment definition: Including subsistence workers | Data reference period: Fourth quarter
Cyprus,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,2132.95,,,Currency: CYP - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Czechia,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,1889.463,,,Currency: CZE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Côte d'Ivoire,HIES - Living Standards Measurement Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2022,115831.058,,,Currency: CIV - West African CFA franc (XOF),Repository: ILO-STATISTICS - Micro data processing
Denmark,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,5174.567,,,Currency: DNK - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Djibouti,HS - Djiboutian Household Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2017,96432.788,Break in series,,Currency: DJI - Djiboutian franc (DJF) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Dominican Republic,LFS - Continuous National Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,23807.72,,,Currency: DOM - Dominican peso (DOP),Repository: ILO-STATISTICS - Micro data processing
Ecuador,"LFS - National Survey on Employment, Unemployment and Underemployment",Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2024,538.001,,,Currency: ECU - United States dollar (USD),Repository: ILO-STATISTICS - Micro data processing
Egypt,LFS - Labour Force Sample Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,3385.253,,,Currency: EGY - Egyptian pound (EGP),Repository: ILO-STATISTICS - Micro data processing
El Salvador,HS - Multi-purpose Household Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,1606.116,,,Currency: SLV - United States dollar (USD),Repository: ILO-STATISTICS - Micro data processing
Estonia,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,2142.428,,,Currency: EST - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Eswatini,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2021,5317.799,,,Currency: SWZ - Lilangeni (SZL),Repository: ILO-STATISTICS - Micro data processing
Ethiopia,LFS - National Labor Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2021,3439.449,,,Currency: ETH - Birr (ETB),Repository: ILO-STATISTICS - Micro data processing
"Falkland Islands, Malvinas",PC - Population Census,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2016,1891.667,,,Central tendency measure: Weighted mean | Working time arrangement coverage: Full-time and part time workers | Currency: FLK - Falkland Islands pound (FKP),Population coverage: Excluding armed forces and/or conscripts
Fiji,"LFS - Employment, Unemployment Survey",Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2016,1033.795,,,Central tendency measure: Mean of the midpoints of the intervals provided | Currency: FJI - Fijian dollar (FJD),Repository: ILO-STATISTICS - Micro data processing
Finland,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,4283.923,,,Currency: FIN - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
France,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,3571.583,,,Currency: FRA - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
French Polynesia,"ADM-IR - Social Security, Tax Administration, and French Representation",Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2003,201481.0,,,Working time concept: Hours actually worked | Currency: PYF - CFP franc (XPF),Reference group coverage: Employees
Gambia,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2018,3750.876,Break in series,,Central tendency measure: Mean of the midpoints of the intervals provided | Currency: GMB - Dalasi (GMD) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Georgia,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,751.361,,,Currency: GEO - Lari (GEL),Repository: ILO-STATISTICS - Micro data processing
Germany,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2021,3424.243,,,Currency: DEU - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Ghana,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2022,1299.269,,,Currency: GHA - Cedi (GHS),Repository: ILO-STATISTICS - Micro data processing
Gibraltar,ES - Employment Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2018,1331.735,,,Job coverage: Main job currently held | Working time arrangement coverage: Full-time workers | Working time concept: Hours actually worked | Currency: GIB - Gibraltar pound (GIP),Data reference period: October
Greece,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,1732.967,,,Currency: GRC - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Guatemala,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2023,2612.324,,,Currency: GTM - Quetzal (GTQ),Repository: ILO-STATISTICS - Micro data processing
Guernsey,ADM - Official Estimates,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2013,2166.667,,,Central tendency measure: Median | Working time arrangement coverage: Full-time and part time workers | Working time concept: Hours actually worked | Currency: GGY - Guernsey pound (GGP),Reference group coverage: Employees
Guinea,LFS - National Survey on Employment and the Informal Sector,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2019,1495499.588,,,Currency: GIN - Guinean franc (GNF),Repository: ILO-STATISTICS - Micro data processing
Guinea-Bissau,HIES - Harmonized Survey on Household Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: Local currency,2022,74487.455,,,Currency: GNB - West African CFA franc (XOF),Repository: ILO-STATISTICS - Micro data processing
