ref_area.label,source.label,indicator.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Egypt,LFS - Labour Force Sample Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,606.729,,,Currency: EGY - Egyptian pound (EGP),Repository: ILO-STATISTICS - Micro data processing
El Salvador,HS - Multi-purpose Household Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,3276.185,,,Currency: SLV - United States dollar (USD),Repository: ILO-STATISTICS - Micro data processing
Estonia,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,3086.592,,,Currency: EST - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Eswatini,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2021,859.23,,,Currency: SWZ - Lilangeni (SZL),Repository: ILO-STATISTICS - Micro data processing
Ethiopia,LFS - National Labor Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2021,255.973,,,Currency: ETH - Birr (ETB),Repository: ILO-STATISTICS - Micro data processing
Fiji,"LFS - Employment, Unemployment Survey",Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2016,1049.265,,,Central tendency measure: Mean of the midpoints of the intervals provided | Currency: FJI - Fijian dollar (FJD),Repository: ILO-STATISTICS - Micro data processing
Finland,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,5008.158,,,Currency: FIN - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
France,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,4628.034,,,Currency: FRA - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Gambia,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2018,251.657,Break in series,,Central tendency measure: Mean of the midpoints of the intervals provided | Currency: GMB - Dalasi (GMD) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Georgia,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,686.302,,,Currency: GEO - Lari (GEL),Repository: ILO-STATISTICS - Micro data processing
Germany,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2021,4610.769,,,Currency: DEU - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Ghana,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2022,435.618,,,Currency: GHA - Cedi (GHS),Repository: ILO-STATISTICS - Micro data processing
Greece,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,2939.24,,,Currency: GRC - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Guatemala,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,751.58,,,Currency: GTM - Quetzal (GTQ),Repository: ILO-STATISTICS - Micro data processing
Guinea,LFS - National Survey on Employment and the Informal Sector,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2019,496.688,,,Currency: GIN - Guinean franc (GNF),Repository: ILO-STATISTICS - Micro data processing
Guinea-Bissau,HIES - Harmonized Survey on Household Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2022,337.364,,,Currency: GNB - West African CFA franc (XOF),Repository: ILO-STATISTICS - Micro data processing
Guyana,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2019,683.391,,,Currency: GUY - Guyanese dollar (GYD),Repository: ILO-STATISTICS - Micro data processing
Honduras,HS - Continous Multi-Purpose Household Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,952.118,,,Currency: HND - Lempira (HNL),Repository: ILO-STATISTICS - Micro data processing | Data reference period: Second quarter
"Hong Kong, China",LFS - General Household Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2016,1858.858,,,Central tendency measure: Median | Working time arrangement coverage: Full-time and part time workers | Currency: HKG - Hong Kong dollar (HKD),Geographical coverage: Government controlled areas | Population coverage: Excluding institutional population
Hungary,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,1585.948,,,Currency: HUN - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Iceland,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2019,3619.932,,,Currency: ISL - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
India,LFS - Periodic Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,771.535,,,Currency: IND - Indian rupee (INR),Repository: ILO-STATISTICS - Micro data processing
Indonesia,LFS - National Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,448.73,,,Currency: IDN - Indonesian rupiah (IDR),Repository: ILO-STATISTICS - Micro data processing
Ireland,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,4048.199,,,Currency: IRL - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Israel,HIES - Income Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2021,2141.779,,,Central tendency measure: Weighted mean | Working time arrangement coverage: Full-time and part time workers | Currency: ISR - New Shekel (ILS),Employment definition: Including subsistence workers
Italy,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,4168.885,,,Currency: ITA - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Jamaica,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2014,529.918,,,Currency: JAM - Jamaican dollar (JMD),Repository: ILO-STATISTICS - Micro data processing
Japan,ES - Wage Structure Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2021,2317.158,,,Central tendency measure: Weighted mean | Working time arrangement coverage: Full-time workers | Currency: JPN - Yen (JPY),"Data reference period: June | Geographical coverage: Total national, excluding some areas | Establishment size coverage: All establishments with at least 5 employees"
Jordan,LFS - Employment and Unemployment Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,1034.884,,,Currency: JOR - Jordanian dinar (JOD),Repository: ILO-STATISTICS - Micro data processing
Kazakhstan,ADM-EBR - Businesses and Organizations register,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2022,1752.805,,,Working time arrangement coverage: Full-time and part time workers | Currency: KAZ - Tenge (KZT),Institutional sector coverage: Public sector only | Reference group coverage: Wage earners / blue collar / production workers
Kenya,HS - Continuous household survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2022,9719.204,,,Currency: KEN - Kenyan shilling (KES),Repository: ILO-STATISTICS - Micro data processing
Kiribati,HIES - Household Income and Expenditure Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2019,451.199,,,Currency: KIR - Australian dollar (AUD),Repository: ILO-STATISTICS - Micro data processing
Kyrgyzstan,"ES - Survey of enterprises, institutions and organisations",Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2022,972.904,,,Working time arrangement coverage: Full-time and part time workers | Currency: KGZ - Kyrgyzstani som (KGS),Data reference period: November | Reference group coverage: Employees
Lao People's Democratic Republic,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2022,569.99,Break in series,,Currency: LAO - Kip (LAK) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Latvia,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,2835.177,,,Currency: LVA - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Lebanon,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2019,1623.821,Break in series,,Currency: LBN - Lebanese pound (LBP) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Lesotho,LFS - Integrated Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2019,552.455,,,Currency: LSO - Loti (LSL),Repository: ILO-STATISTICS - Micro data processing
Liberia,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2017,3635.42,Break in series,,Currency: LBR - United States dollar (USD) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Lithuania,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,2882.362,,,Currency: LTU - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
Luxembourg,HIES - EU Statistics on Income and Living Conditions,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2023,7037.897,,,Currency: LUX - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old
"Macao, China",LFS - Employment Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2018,2511.354,,,Central tendency measure: Median | Working time arrangement coverage: Full-time and part time workers | Currency: MAC - Pataca (MOP),"Geographical coverage: Total national, excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts"
Madagascar,LFS - National Survey on Employment and the Informal Sector,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2015,228.135,,,Currency: MDG - Malagasy ariary (MGA),Repository: ILO-STATISTICS - Micro data processing
Malawi,LFS - Labour Force Survey,Average monthly earnings of employees by sex,Sex: Female,Currency: 2021 PPP $,2013,136.852,Break in series,,Currency: MWI - Malawian kwacha (MWK) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
